t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms
38377.2,7.94698,8008,18885,8008,18885,0,0,0,0,4.42226,4.42226,1,0.8,16.3996,0.0446
40117.4,0.574643,14650,13150,14650,13150,5042.68,5,0,1740.21,1.402,1.122,6.25,0.247921,16.3996,0.0446
40230.2,8.86489,14650,13150,14650,13150,4735.71,2,0.820113,112.805,0.562,0.511632,2.82011,0.53297,18.8855,0.0459
40257.6,36.591,14650,13150,14650,13150,4666.88,1,0.50334,27.3291,0.842,0.702935,0.683227,0.858595,22.9063,0.041
40281.2,42.3693,14650,13150,14650,13150,4609.02,1,0.09339,23.602,1.122,0.868149,0.59005,0.876634,21.2985,0.0419
40302.5,47.0082,14650,13150,14650,13150,4558.1,0,0.625212,21.2729,1.122,1.01706,0.531823,0.888098,19.4034,0.0382
40322.6,49.6473,14650,13150,14650,13150,4510.9,1,0.128765,20.1421,1.402,1.15805,0.503552,0.893718,19.0444,0.0386
40345.5,43.7051,14650,13150,14650,13150,4458.46,0,0.70078,22.8806,1.402,1.31822,0.572015,0.880169,21.05,0.0376
40373.5,35.7242,14650,13150,14650,13150,4395.94,1,0.400585,27.9922,1.682,1.51416,0.699805,0.855425,26.82,0.0701
40403.1,33.7648,14650,13150,14650,13150,4331.68,1,0.141,29.6166,1.962,1.72148,0.740415,0.847708,26.2259,0.0683
40427.1,41.638,14650,13150,14650,13150,4280.93,0,0.741413,24.0165,1.962,1.8896,0.600412,0.874609,20.9026,0.058
40450.8,42.2,14650,13150,14650,13150,4232.01,1,0.33383,23.6967,2.242,2.05547,0.592417,0.876171,21.3801,0.0459
40472.5,46.0925,14650,13150,14650,13150,4188.18,0,0.876217,21.6955,2.242,2.20734,0.542387,0.886007,18.4456,0.0418
40493.3,48.1487,14650,13150,14650,13150,4147.08,1,0.395442,20.769,2.522,2.35272,0.519225,0.890598,18.9354,0.046
40517.8,40.7711,14650,13150,14650,13150,4099.56,1,0.0086225,24.5272,2.802,2.52441,0.61318,0.872121,21.6654,0.0511
40542.7,40.0721,14650,13150,14650,13150,4052.32,0,0.632497,24.955,2.802,2.6991,0.623875,0.870042,21.8211,0.0379
40563.4,48.3503,14650,13150,14650,13150,4013.98,1,0.149558,20.6824,3.082,2.84388,0.51706,0.891029,18.9732,0.0302
40586.5,43.4011,14650,13150,14650,13150,3972.12,0,0.72558,23.0409,3.082,3.00516,0.576023,0.879382,19.677,0.0413
40611.2,40.408,14650,13150,14650,13150,3928.11,1,0.34427,24.7476,3.362,3.1784,0.61869,0.871049,22.7496,0.0581
40645.5,29.1553,14650,13150,14650,13150,3868.72,1,0.201748,34.2991,3.642,3.41849,0.857477,0.825851,31.3501,0.0499
40670,40.7686,14650,13150,14650,13150,3827.33,0,0.814965,24.5287,3.642,3.59019,0.613217,0.872114,21.7151,0.0468
40692.4,44.7997,14650,13150,14650,13150,3790.43,1,0.373005,22.3216,3.922,3.74644,0.55804,0.882918,20.2961,0.0504
40719.5,36.7983,14650,13150,14650,13150,3746.45,1,0.052385,27.1752,4.202,3.93667,0.67938,0.859333,23.9281,0.0444
40747.3,36.0323,14650,13150,14650,13150,3702.58,0,0.746207,27.7529,4.202,4.13094,0.693823,0.856568,24.7198,0.0419
40770.8,42.6272,14650,13150,14650,13150,3666.29,1,0.332687,23.4592,4.482,4.29515,0.58648,0.877333,21.3563,0.0563
40792.1,46.899,14650,13150,14650,13150,3633.92,0,0.865748,21.3224,4.482,4.44441,0.53306,0.887853,18.511,0.0434
40813.5,46.7602,14650,13150,14650,13150,3602.02,1,0.40039,21.3857,4.762,4.59411,0.534643,0.88754,19.5734,0.0425
40842.1,34.924,14650,13150,14650,13150,3560.17,1,0.11623,28.6336,5.042,4.79454,0.71584,0.85237,24.8904,0.041
40862.7,48.443,14650,13150,14650,13150,3530.61,0,0.6323,20.6428,5.042,4.93904,0.51607,0.891226,17.8718,0.0434
