t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms
28905.9,6.58563,8008,18885,8008,18885,0,0,0,0,5.60369,5.60369,1,0.8,15.251,0.0608
30748.8,0.54264,13450,11850,13450,11850,4826.34,5,0,1842.84,1.402,1.122,6.25,0.247921,15.251,0.0608
31580.4,1.20253,13450,11850,13450,11850,3325.64,5,0,831.582,1.402,1.122,6.25,0.247921,18.6314,0.0507
31841.4,3.83025,13450,11850,13450,11850,3029.87,5,0,261.08,2.802,2.522,6.25,0.247921,165.518,0.0443
32040.5,5.02443,13450,11850,13450,11850,2837.48,4,0.975685,199.027,3.922,3.91519,4.97569,0.329463,178.378,0.0409
32239.7,5.01902,13450,11850,13450,11850,2667.9,5,0.956733,199.242,5.322,5.30989,4.98105,0.329069,180.881,0.0418
32432.1,5.19843,13450,11850,13450,11850,2522.36,5,0.765875,192.366,0.722001,0.656446,4.80914,0.341937,173.91,0.0488
32622.6,5.24824,13450,11850,13450,11850,2393.05,5,0.529375,190.54,2.122,1.99023,4.7635,0.345437,176.701,0.0426
32818.3,5.11066,13450,11850,13450,11850,2273.36,5,0.421108,195.669,3.522,3.35991,4.89173,0.335693,171.058,0.1399
33074.4,3.90518,13450,11850,13450,11850,2133.71,5,0,256.07,4.922,4.642,6.25,0.247921,196.567,0.0429
33278.7,4.89404,13450,11850,13450,11850,2034,5,0.108253,204.33,0.322003,0.0723134,5.10825,0.319859,184.748,0.0416
33488.6,4.76318,13450,11850,13450,11850,1940.82,5,0.356845,209.944,1.722,1.54192,5.24859,0.309998,192.405,0.0606
33692.4,4.90746,13450,11850,13450,11850,1858.2,5,0.451125,203.771,3.122,2.96832,5.09428,0.320858,183.826,0.0449
33921.6,4.36274,13450,11850,13450,11850,1773.28,5,0,229.214,4.522,4.242,5.73035,0.278402,213.158,0.065
34172.6,3.98426,13450,11850,13450,11850,1688.77,5,0,250.988,5.922,5.642,6.25,0.247921,219.999,0.0498
34511.3,2.95282,13450,11850,13450,11850,1586.74,5,0,338.659,1.322,1.042,6.25,0.247921,276.287,0.1338
34709.9,5.03441,13450,11850,13450,11850,1532.43,4,0.96583,198.633,2.442,2.43244,4.96583,0.330188,182.792,0.0421
34906.7,5.08129,13450,11850,13450,11850,1482.18,5,0.88584,196.8,3.842,3.81004,4.92001,0.333581,184.704,0.0501
35117.9,4.73592,13450,11850,13450,11850,1431.8,5,0,211.152,5.242,4.962,5.2788,0.307915,191.747,0.0418
35319.3,4.96464,13450,11850,13450,11850,1386.83,5,0.035615,201.425,0.642006,0.371978,5.03561,0.325086,181.605,0.0405
35532.5,4.6906,13450,11850,13450,11850,1342.21,5,0.365427,213.192,2.04201,1.86433,5.32981,0.30443,194.447,0.0566
35743,4.74968,13450,11850,13450,11850,1300.88,5,0.628937,210.54,3.44201,3.33811,5.26351,0.308968,193.599,0.0412
36050,3.25768,13450,11850,13450,11850,1244.98,5,0,306.967,4.84201,4.56201,6.25,0.247921,199.945,0.0586
36256.6,4.83915,13450,11850,13450,11850,1209.98,5,0.1662,206.648,0.242007,0.242007,5.1662,0.31575,182.159,0.056
36504.7,4.03168,13450,11850,13450,11850,1170.49,5,0,248.036,1.64201,1.36201,6.20089,0.250652,227.456,0.049
36706.2,4.96107,13450,11850,13450,11850,1140.24,5,0.039235,201.569,3.04201,2.77299,5.03924,0.324824,181.974,0.0471
36910.1,4.90579,13450,11850,13450,11850,1111.2,5,0.135255,203.841,4.44201,4.19988,5.09602,0.320734,187.486,0.04
37129.1,4.56628,13450,11850,13450,11850,1081.61,5,0.610175,218.997,5.84201,5.73286,5.47492,0.294731,195.501,0.0557
37428.2,3.34327,13450,11850,13450,11850,1043.65,5,0,299.109,1.24201,0.962008,6.25,0.247921,222.776,0.0464
37625.8,5.05938,13450,11850,13450,11850,1019.99,4,0.941317,197.653,2.36201,2.34558,4.94132,0.331999,182.066,0.0419
37830.4,4.88727,13450,11850,13450,11850,996.603,5,0,204.613,3.76201,3.48201,5.11533,0.319355,192.175,0.0516
38043.9,4.6849,13450,11850,13450,11850,973.324,5,0.336298,213.452,5.16201,4.97617,5.3363,0.30399,189.69,0.0414
38270,4.42352,13450,11850,13450,11850,949.826,5,0.987905,226.064,0.56201,0.558623,5.65161,0.283337,204.967,0.0434
38484.1,4.66885,13450,11850,13450,11850,928.586,5,0,214.185,1.96201,1.68201,5.35463,0.302749,193.267,0.7009
38627.2,6.99023,13450,11850,13450,11850,914.921,3,0.57642,143.057,2.80201,2.68341,3.57642,0.450204,124.45,0.5344
38756.5,7.73641,13450,11850,13450,11850,902.916,3,0.807895,129.259,3.64201,3.58822,3.23148,0.486225,118.559,0.4403
