t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms,terrain_ms,objects_ms,chars_ms,effects_ms
29165.6,9.00306,8008,18885,8008,18885,0,0,0,0,1.41942,1.41942,1,0.8,18.0488,0.0451,0,0,0,0
29179,74.5368,8008,18885,8008,18885,0,0,0.335405,13.4162,1.41942,1.41942,0.335405,0.927889,18.0488,0.0451,0,0,0,0
29180.6,606.281,8008,18885,8008,18885,0,0,0.37664,1.6494,1.41942,1.41942,0.041235,0.990841,18.0488,0.0451,0,0,0,0
29181.8,853.606,8008,18885,8008,18885,0,0,0.405928,1.1715,1.41942,1.41942,0.0292875,0.993486,18.0488,0.0451,0,0,0,0
29182.8,983.091,8008,18885,8008,18885,0,0,0.431358,1.0172,1.41942,1.41942,0.02543,0.994342,18.0488,0.0451,0,0,0,0
29183.8,1002.2,8008,18885,8008,18885,0,0,0.456302,0.9978,1.41942,1.41942,0.024945,0.994449,18.0488,0.0451,0,0,0,0
29184.9,907.029,8008,18885,8008,18885,0,0,0.483865,1.1025,1.41942,1.41942,0.0275625,0.993868,18.0488,0.0451,0,0,0,0
29186,956.48,8008,18885,8008,18885,0,0,0.510002,1.0455,1.41942,1.41942,0.0261375,0.994185,18.0488,0.0451,0,0,0,0
29187.1,885.347,8008,18885,8008,18885,0,0,0.53824,1.1295,1.41942,1.41942,0.0282375,0.993719,18.0488,0.0451,0,0,0,0
29188.2,935.541,8008,18885,8008,18885,0,0,0.564963,1.0689,1.41942,1.41942,0.0267225,0.994055,18.0488,0.0451,0,0,0,0
29189.2,984.155,8008,18885,8008,18885,0,0,0.590365,1.0161,1.41942,1.41942,0.0254025,0.994348,18.0488,0.0451,0,0,0,0
29190.2,966.464,8008,18885,8008,18885,0,0,0.616233,1.0347,1.41942,1.41942,0.0258675,0.994244,18.0488,0.0451,0,0,0,0
29191.3,946.163,8008,18885,8008,18885,0,0,0.642655,1.0569,1.41942,1.41942,0.0264225,0.994121,18.0488,0.0451,0,0,0,0
29192.4,907.606,8008,18885,8008,18885,0,0,0.6702,1.1018,1.41942,1.41942,0.027545,0.993872,18.0488,0.0451,0,0,0,0
29193.8,692.953,8008,18885,8008,18885,0,0,0.706277,1.4431,1.41942,1.41942,0.0360775,0.991982,18.0488,0.0451,0,0,0,0
29195.1,769.053,8008,18885,8008,18885,0,0,0.738785,1.3003,1.41942,1.41942,0.0325075,0.992772,18.0488,0.0451,0,0,0,0
29197.7,384.986,8008,18885,8008,18885,0,0,0.803723,2.5975,1.41942,1.41942,0.0649375,0.985614,18.0488,0.0451,0,0,0,0
29199.3,643.17,8008,18885,8008,18885,0,0,0.842592,1.5548,1.41942,1.41942,0.03887,0.991364,18.0488,0.0451,0,0,0,0
29200.8,645.453,8008,18885,8008,18885,0,0,0.881325,1.5493,1.41942,1.41942,0.0387325,0.991394,18.0488,0.0451,0,0,0,0
29202.2,707.214,8008,18885,8008,18885,0,0,0.916675,1.414,1.41942,1.41942,0.03535,0.992143,18.0488,0.0451,0,0,0,0
29203.8,655.093,8008,18885,8008,18885,0,0,0.954838,1.5265,1.41942,1.41942,0.0381625,0.99152,18.0488,0.0451,0,0,0,0
29205.8,483.068,8008,18885,8008,18885,0,1,0.00659,2.0701,1.41942,1.41942,0.0517525,0.988518,18.0488,0.0451,0,0,0,0
29208.6,363.399,8008,18885,8008,18885,0,0,0.075385,2.7518,1.41942,1.41942,0.068795,0.984766,18.0488,0.0451,0,0,0,0
29210.1,660.677,8008,18885,8008,18885,0,0,0.113225,1.5136,1.41942,1.41942,0.03784,0.991592,18.0488,0.0451,0,0,0,0
29212.1,496.45,8008,18885,8008,18885,0,0,0.163583,2.0143,1.41942,1.41942,0.0503575,0.988826,18.0488,0.0451,0,0,0,0
29213.7,646.705,8008,18885,8008,18885,0,0,0.20224,1.5463,1.41942,1.41942,0.0386575,0.991411,18.0488,0.0451,0,0,0,0
29215.2,654.279,8008,18885,8008,18885,0,0,0.24045,1.5284,1.41942,1.41942,0.03821,0.99151,18.0488,0.0451,0,0,0,0
29216.5,767.165,8008,18885,8008,18885,0,0,0.273037,1.3035,1.41942,1.41942,0.0325875,0.992755,18.0488,0.0451,0,0,0,0
29217.8,768.462,8008,18885,8008,18885,0,0,0.30557,1.3013,1.41942,1.41942,0.0325325,0.992767,18.0488,0.0451,0,0,0,0
29219.1,794.092,8008,18885,8008,18885,0,0,0.337052,1.2593,1.41942,1.41942,0.0314825,0.992999,18.0488,0.0451,0,0,0,0
29220.4,752.615,8008,18885,8008,18885,0,0,0.37027,1.3287,1.41942,1.41942,0.0332175,0.992615,18.0488,0.0451,0,0,0,0
29221.7,794.281,8008,18885,8008,18885,0,0,0.401745,1.259,1.41942,1.41942,0.031475,0.993001,18.0488,0.0451,0,0,0,0
29223,765.228,8008,18885,8008,18885,0,0,0.434415,1.3068,1.41942,1.41942,0.03267,0.992736,18.0488,0.0451,0,0,0,0
29224.3,727.696,8008,18885,8008,18885,0,0,0.46877,1.3742,1.41942,1.41942,0.034355,0.992363,18.0488,0.0451,0,0,0,0
29225.9,620.54,8008,18885,8008,18885,0,0,0.509058,1.6115,1.41942,1.41942,0.0402875,0.99105,18.0488,0.0451,0,0,0,0
29227.8,545.256,8008,18885,8008,18885,0,0,0.554908,1.834,1.41942,1.41942,0.04585,0.989821,18.0488,0.0451,0,0,0,0
29229.4,631.194,8008,18885,8008,18885,0,0,0.594515,1.5843,1.41942,1.41942,0.0396075,0.991201,18.0488,0.0451,0,0,0,0
29230.7,742.611,8008,18885,8008,18885,0,0,0.62818,1.3466,1.41942,1.41942,0.033665,0.992516,18.0488,0.0451,0,0,0,0
29232,782.718,8008,18885,8008,18885,0,0,0.66012,1.2776,1.41942,1.41942,0.03194,0.992898,18.0488,0.0451,0,0,0,0
29233.3,756.945,8008,18885,8008,18885,0,0,0.693147,1.3211,1.41942,1.41942,0.0330275,0.992657,18.0488,0.0451,0,0,0,0
29234.3,1033.81,8008,18885,8008,18885,0,0,0.71733,0.9673,1.41942,1.41942,0.0241825,0.994618,18.0488,0.0451,0,0,0,0
29235.3,979.432,8008,18885,8008,18885,0,0,0.742855,1.021,1.41942,1.41942,0.025525,0.99432,18.0488,0.0451,0,0,0,0
29236.3,1020.51,8008,18885,8008,18885,0,0,0.767353,0.9799,1.41942,1.41942,0.0244975,0.994548,18.0488,0.0451,0,0,0,0
29237.3,976.467,8008,18885,8008,18885,0,0,0.792955,1.0241,1.41942,1.41942,0.0256025,0.994303,18.0488,0.0451,0,0,0,0
29238.3,952.29,8008,18885,8008,18885,0,0,0.819207,1.0501,1.41942,1.41942,0.0262525,0.994159,18.0488,0.0451,0,0,0,0
29239.4,943.574,8008,18885,8008,18885,0,0,0.845703,1.0598,1.41942,1.41942,0.026495,0.994105,18.0488,0.0451,0,0,0,0
29240.4,1027.12,8008,18885,8008,18885,0,0,0.870043,0.9736,1.41942,1.41942,0.02434,0.994583,18.0488,0.0451,0,0,0,0
29241.4,941.176,8008,18885,8008,18885,0,0,0.896605,1.0625,1.41942,1.41942,0.0265625,0.99409,18.0488,0.0451,0,0,0,0
29242.6,893.017,8008,18885,8008,18885,0,0,0.9246,1.1198,1.41942,1.41942,0.027995,0.993773,18.0488,0.0451,0,0,0,0
29244.3,576.635,8008,18885,8008,18885,0,0,0.967955,1.7342,1.41942,1.41942,0.043355,0.990372,18.0488,0.0451,0,0,0,0
29245.4,923.958,8008,18885,8008,18885,0,0,0.995013,1.0823,1.41942,1.41942,0.0270575,0.99398,18.0488,0.0451,0,0,0,0
29246.4,982.608,8008,18885,8008,18885,0,1,0.020455,1.0177,1.41942,1.41942,0.0254425,0.994339,18.0488,0.0451,0,0,0,0
29248.3,524.549,8008,18885,8008,18885,0,0,0.068115,1.9064,1.41942,1.41942,0.04766,0.989421,18.0488,0.0451,0,0,0,0
29249.4,952.109,8008,18885,8008,18885,0,0,0.0943725,1.0503,1.41942,1.41942,0.0262575,0.994158,18.0488,0.0451,0,0,0,0
29250.4,996.91,8008,18885,8008,18885,0,0,0.11945,1.0031,1.41942,1.41942,0.0250775,0.99442,18.0488,0.0451,0,0,0,0
29251.3,1063.72,8008,18885,8008,18885,0,0,0.142953,0.9401,1.41942,1.41942,0.0235025,0.994769,18.0488,0.0451,0,0,0,0
29252.3,994.135,8008,18885,8008,18885,0,0,0.1681,1.0059,1.41942,1.41942,0.0251475,0.994404,18.0488,0.0451,0,0,0,0
29253.2,1067.01,8008,18885,8008,18885,0,0,0.19153,0.9372,1.41942,1.41942,0.02343,0.994785,18.0488,0.0451,0,0,0,0
29254.3,956.846,8008,18885,8008,18885,0,0,0.217658,1.0451,1.41942,1.41942,0.0261275,0.994187,18.0488,0.0451,0,0,0,0
29255.2,1069.4,8008,18885,8008,18885,0,0,0.241035,0.9351,1.41942,1.41942,0.0233775,0.994797,18.0488,0.0451,0,0,0,0
29256.2,1015.85,8008,18885,8008,18885,0,0,0.265645,0.9844,1.41942,1.41942,0.02461,0.994523,18.0488,0.0451,0,0,0,0
29257.1,1067.12,8008,18885,8008,18885,0,0,0.289073,0.9371,1.41942,1.41942,0.0234275,0.994786,18.0488,0.0451,0,0,0,0
29258.2,990.786,8008,18885,8008,18885,0,0,0.314305,1.0093,1.41942,1.41942,0.0252325,0.994385,18.0488,0.0451,0,0,0,0
29259.4,772.32,8008,18885,8008,18885,0,0,0.346675,1.2948,1.41942,1.41942,0.03237,0.992803,18.0488,0.0451,0,0,0,0
29261.3,542.977,8008,18885,8008,18885,0,0,0.392718,1.8417,1.41942,1.41942,0.0460425,0.989779,18.0488,0.0451,0,0,0,0
29262.7,716.589,8008,18885,8008,18885,0,0,0.427605,1.3955,1.41942,1.41942,0.0348875,0.992245,18.0488,0.0451,0,0,0,0
29264,756.773,8008,18885,8008,18885,0,0,0.46064,1.3214,1.41942,1.41942,0.033035,0.992656,18.0488,0.0451,0,0,0,0
29265.2,845.451,8008,18885,8008,18885,0,0,0.49021,1.1828,1.41942,1.41942,0.02957,0.993423,18.0488,0.0451,0,0,0,0
29266.2,1001.3,8008,18885,8008,18885,0,0,0.515177,0.9987,1.41942,1.41942,0.0249675,0.994444,18.0488,0.0451,0,0,0,0
29267.3,871.536,8008,18885,8008,18885,0,0,0.543863,1.1474,1.41942,1.41942,0.028685,0.99362,18.0488,0.0451,0,0,0,0
29268.6,786.906,8008,18885,8008,18885,0,0,0.575633,1.2708,1.41942,1.41942,0.03177,0.992936,18.0488,0.0451,0,0,0,0
29269.7,941.442,8008,18885,8008,18885,0,0,0.602188,1.0622,1.41942,1.41942,0.026555,0.994092,18.0488,0.0451,0,0,0,0
29270.7,984.349,8008,18885,8008,18885,0,0,0.627585,1.0159,1.41942,1.41942,0.0253975,0.994349,18.0488,0.0451,0,0,0,0
29271.8,922.594,8008,18885,8008,18885,0,0,0.654683,1.0839,1.41942,1.41942,0.0270975,0.993972,18.0488,0.0451,0,0,0,0
29272.7,1026.8,8008,18885,8008,18885,0,0,0.67903,0.9739,1.41942,1.41942,0.0243475,0.994582,18.0488,0.0451,0,0,0,0
29274,811.227,8008,18885,8008,18885,0,0,0.709848,1.2327,1.41942,1.41942,0.0308175,0.993147,18.0488,0.0451,0,0,0,0
29275.2,806.387,8008,18885,8008,18885,0,0,0.74085,1.2401,1.41942,1.41942,0.0310025,0.993106,18.0488,0.0451,0,0,0,0
29276.8,650.364,8008,18885,8008,18885,0,0,0.77929,1.5376,1.41942,1.41942,0.03844,0.991459,18.0488,0.0451,0,0,0,0
29278.3,644.538,8008,18885,8008,18885,0,0,0.818078,1.5515,1.41942,1.41942,0.0387875,0.991382,18.0488,0.0451,0,0,0,0
