t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms,terrain_ms,objects_ms,chars_ms,effects_ms
43016.6,5.31972,8008,18885,8008,18885,0,0,0,0,1.25201,1.25201,1,0.8,18.803,0.0473,0,0,0,0
47211.9,0.238362,17550,10850,17550,10850,2973.43,5,0,4195.29,1.4,1.12,6.25,0.247921,18.803,0.0473,0,0,0,0
48045.5,1.19964,17550,10850,17550,10850,2480.56,5,0,833.585,1.402,1.122,6.25,0.247921,32.1652,0.0537,1.3575,15.6475,0.006,0.0244
48090.2,22.3779,17550,10850,17550,10850,2458.71,1,0.117173,44.6869,1.682,1.43481,1.11717,0.779354,35.0343,0.0492,1.3675,18.6758,9.5788,0.0257
48122.2,31.2622,17550,10850,17550,10850,2443.3,0,0.91686,31.9875,1.682,1.65872,0.799688,0.83657,28.8292,0.0469,1.3816,16.9657,6.0714,0.0279
48150.4,35.4267,17550,10850,17550,10850,2429.87,1,0.622543,28.2273,1.962,1.85631,0.705683,0.854304,27.1347,0.0445,1.3787,15.2827,6.108,0.0261
48191.4,24.3997,17550,10850,17550,10850,2410.62,1,0.647145,40.9841,2.242,2.1432,1.0246,0.79562,38.113,0.0478,1.3705,22.1594,8.8834,0.0311
48226.5,28.4874,17550,10850,17550,10850,2394.38,1,0.524728,35.1033,2.522,2.38892,0.877582,0.822155,32.0208,0.0504,1.3706,16.5361,8.6982,0.0256
48258.9,30.8337,17550,10850,17550,10850,2379.57,1,0.335528,32.432,2.802,2.61595,0.8108,0.834498,28.209,0.0467,1.7566,15.5841,5.9149,0.0272
48298,25.5878,17550,10850,17550,10850,2361.96,1,0.312555,39.0811,3.082,2.88952,0.977027,0.804111,36.1899,0.0474,1.3593,21.1913,7.9788,0.03
48337.7,25.2019,17550,10850,17550,10850,2344.35,1,0.304543,39.6795,3.362,3.16727,0.991988,0.801432,36.311,0.0602,1.5735,18.0358,9.4571,0.0309
48379,24.1984,17550,10850,17550,10850,2326.28,1,0.337667,41.325,3.642,3.45655,1.03313,0.794109,37.4936,0.0605,1.7126,22.8319,7.4098,0.0235
48418.8,25.1087,17550,10850,17550,10850,2309.13,1,0.333337,39.8268,3.922,3.73533,0.99567,0.800773,34.0079,0.0522,2.701,19.5704,7.2003,0.0228
48459.6,24.502,17550,10850,17550,10850,2291.82,1,0.353662,40.813,4.202,4.02103,1.02032,0.79638,36.2164,0.0453,1.6121,19.2519,9.4876,0.0249
48501.5,23.8969,17550,10850,17550,10850,2274.33,1,0.399823,41.8464,4.482,4.31395,1.04616,0.791802,37.8242,0.0522,1.5718,22.3891,7.8281,0.0405
48547.9,21.5566,17550,10850,17550,10850,2255.26,1,0.559557,46.3894,4.762,4.63868,1.15973,0.771987,33.2634,0.0578,2.2345,18.5583,6.0915,0.0203
48596.9,20.4136,17550,10850,17550,10850,2235.46,1,0.784232,48.987,5.042,4.98159,1.22468,0.760881,44.2428,0.0855,1.4059,25.5046,10.1271,0.0275
48645.9,20.3756,17550,10850,17550,10850,2215.97,2,0.0111875,49.0782,5.602,5.32513,1.22696,0.760494,43.4209,0.044,2.067,24.6469,10.6768,0.0255
48686.3,24.7931,17550,10850,17550,10850,2200.2,1,0.0195325,40.3338,5.882,5.60747,1.00835,0.798512,34.0006,0.0916,1.6109,19.3891,7.7085,0.0335
48717.9,31.5876,17550,10850,17550,10850,2187.99,0,0.810983,31.658,5.882,5.82908,0.79145,0.838109,27.4119,0.0445,1.3636,15.7757,5.9547,0.0195
48752.3,29.0812,17550,10850,17550,10850,2174.87,1,0.670645,34.3865,0,0,0.859662,0.825449,32.3998,0.0679,1.3617,20.102,6.1591,0.0208
48784.5,31.0576,17550,10850,17550,10850,2162.73,1,0.4756,32.1982,0.28,0.133168,0.804955,0.835587,28.6278,0.045,1.3872,16.8311,5.8715,0.0226
48817.3,30.5071,17550,10850,17550,10850,2150.51,1,0.295083,32.7793,0.56,0.362623,0.819483,0.832883,29.1077,0.0467,1.3885,17.0014,5.961,0.0193
48853.8,27.3873,17550,10850,17550,10850,2137.06,1,0.207915,36.5133,0.84,0.618216,0.912832,0.815713,33.5583,0.0485,1.3582,18.1307,8.2311,0.0225
48889,28.3834,17550,10850,17550,10850,2124.23,1,0.08871,35.2318,1.12,0.864839,0.880795,0.821565,31.5551,0.0451,1.8229,20.4444,4.9162,0.0198
48927,26.3435,17550,10850,17550,10850,2110.59,1,0.03771,37.96,1.4,1.13056,0.949,0.809156,34.6102,0.0597,2.3232,20.6936,6.4477,0.0218
48966.1,25.5649,17550,10850,17550,10850,2096.71,1,0.015615,39.1162,1.68,1.40437,0.977905,0.803954,35.901,0.0625,1.4148,18.8053,8.3046,0.0352
49024.6,17.106,17550,10850,17550,10850,2076.31,1,0.477093,58.4591,1.96,1.81359,1.46148,0.721719,53.8555,0.0631,2.3202,34.7316,10.1109,0.0312
49068.8,22.5855,17550,10850,17550,10850,2061.12,1,0.583995,44.2761,2.24,2.12352,1.1069,0.781142,40.2252,0.0548,1.8011,23.9634,8.2097,0.0409
49112.3,23.0193,17550,10850,17550,10850,2046.43,1,0.67004,43.4418,2.52,2.42761,1.08605,0.784786,38.5743,0.0529,1.8155,21.4088,8.9348,0.0251
49149,27.2339,17550,10838,17550,10842.9,2036.14,1,0.588015,36.719,0.33,0.33,0.917975,0.814777,28.951,0.0412,1.8992,15.0664,6.1207,0.0779
49195.4,21.5629,17550,10826,17550,10829,2022.8,1,0.747413,46.3759,0.66,0.576646,1.1594,0.772045,42.5424,0.0649,1.5811,25.2149,8.386,0.1509
49239.4,22.7414,17550,10814,17550,10815.8,2010.43,1,0.846727,43.9726,0.99,0.93942,1.09932,0.782466,39.3138,0.0471,2.2238,23.8938,7.6756,0.0503
