t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms,terrain_ms,objects_ms,chars_ms,effects_ms
42254.6,6.44265,8008,18885,8008,18885,0,0,0,0,4.09876,4.09876,1,0.8,14.8919,0.0417,0,0,0,0
45274.7,0.331111,13450,12050,13450,12050,2892.87,5,0,3020.14,1.402,1.122,6.25,0.247921,14.8919,0.0417,0,0,0,0
45421.3,6.82203,13450,12050,13450,12050,2758.96,3,0.6646,146.584,2.242,2.14809,3.6646,0.441432,53.0751,0.3407,1.6703,10.959,0.0057,0.022
45622,4.98114,13450,12050,13450,12050,2594.48,5,0.683532,200.757,3.642,3.55339,5.01893,0.326299,176.943,0.0427,2.0036,9.7167,157.888,0.0183
45818.9,5.0786,13450,12050,13450,12050,2451.15,5,0.606152,196.905,5.042,4.93172,4.92262,0.333387,182.346,0.0522,2.1222,8.8844,162.893,0.0188
46019.1,4.99501,13450,12050,13450,12050,2320.8,5,0.61115,200.2,0.442001,0.333123,5.005,0.327315,182.487,0.0506,1.6339,8.4075,163.671,0.0235
46235.5,4.62107,13450,12050,13450,12050,2194.65,5,0,216.4,1.842,1.562,5.41,0.299031,198.478,0.0415,2.7585,9.8369,177.158,0.0196
46421,5.39239,13450,12050,13450,12050,2096.96,4,0.63616,185.446,2.962,2.86013,4.63616,0.355394,173.456,0.0401,1.6132,7.6813,155.121,0.0199
46611.5,5.25029,13450,12050,13450,12050,2005.29,5,0.3978,190.466,4.362,4.19339,4.76164,0.345581,178.713,0.0434,2.2159,7.7631,159.064,0.0205
46841.2,4.35234,13450,12050,13450,12050,1904.84,5,0,229.761,5.762,5.482,5.74403,0.277553,188.175,0.044,1.8962,7.151,169.291,0.0226
47059.7,4.57804,13450,12050,13450,12050,1818.25,5,0.460847,218.434,1.162,1.01104,5.46085,0.295658,188.109,0.0434,1.837,7.4368,166.576,0.0187
47269.5,4.76551,13450,12050,13450,12050,1742.17,5,0.706873,209.841,2.562,2.47993,5.24603,0.310176,193.914,0.0538,1.8686,7.5058,171.717,0.0257
47472.9,4.91637,13450,12050,13450,12050,1674.26,5,0.79193,203.402,3.962,3.90374,5.08506,0.321519,187.054,0.0423,1.6906,7.2774,167.627,0.0204
47692.7,4.54971,13450,12050,13450,12050,1606.59,5,0,219.794,5.362,5.082,5.49485,0.293423,196.995,0.0453,1.8982,8.8418,174.535,0.0187
47914.6,4.50615,13450,12050,13450,12050,1543.6,5,0.54797,221.919,0.762004,0.635436,5.54797,0.289965,200.983,0.0477,1.6423,8.1666,179.599,0.0261
48123.9,4.77834,13450,12050,13450,12050,1488.56,5,0.779915,209.278,2.162,2.10038,5.23195,0.311152,189.49,0.0465,1.6945,7.5015,169.569,0.0232
48355.4,4.3189,13450,12050,13450,12050,1432.07,5,0,231.541,3.562,3.282,5.78852,0.274811,185.955,0.0734,1.6477,7.2814,165.585,0.0306
48591,4.24415,13450,12050,13450,12050,1378.82,5,0.89046,235.618,4.962,4.93133,5.89046,0.268631,194.351,0.0427,1.6807,7.2457,174.212,0.0207
48778.2,5.34223,13450,12050,13450,12050,1339.25,5,0.570155,187.188,0.362006,0.241649,4.6797,0.351958,165.27,0.0421,1.6423,7.454,146.147,0.0338
48973.3,5.12683,13450,12050,13450,12050,1300.37,5,0.446465,195.052,1.76201,1.60702,4.87631,0.33685,174.63,0.0465,1.6494,7.1759,154.113,0.0208
49169.3,5.10163,13450,12050,13450,12050,1263.51,5,0.346855,196.016,3.16201,2.97912,4.90039,0.335045,176.486,0.0571,1.643,7.3621,157.594,0.0259
49368.8,5.0127,13450,12050,13450,12050,1228.08,5,0.334185,199.493,4.56201,4.37558,4.98733,0.328608,179.408,0.0412,2.0518,8.5027,158.172,0.0247
49584.4,4.63879,13450,12050,13450,12050,1191.96,5,0.72352,215.573,5.96201,5.88459,5.38934,0.300414,192.856,0.0423,1.6404,7.3751,172.86,0.0187
49802.6,4.58263,13450,12050,13450,12050,1157.5,5,0,218.215,1.36201,1.08201,5.45539,0.296018,185.039,0.0437,1.6483,7.5478,165.796,0.0362
