t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms,terrain_ms,objects_ms,chars_ms,effects_ms
37371.3,5.53165,8008,18885,8008,18885,0,0,0,0,0.579733,0.579733,1,0.8,25.8041,0.1099,0,0,0,0
40436.6,0.326225,13450,12050,13450,12050,2850.18,5,0,3065.37,1.402,1.122,6.25,0.247921,25.8041,0.1099,0,0,0,0
41506.3,0.934882,13450,12050,13450,12050,2112.89,5,0,1069.65,2.802,2.522,6.25,0.247921,19.9341,0.04,1.7177,8.0687,0.0084,0.0213
41682.3,5.68274,13450,12050,13450,12050,2026.65,4,0.39929,175.972,3.922,3.7538,4.39929,0.374684,166.474,0.0504,1.6934,7.6737,147.436,0.0212
41886.3,4.90033,13450,12050,13450,12050,1935.05,5,0.500983,204.068,5.322,5.18228,5.10169,0.320328,190.227,0.0451,1.6548,7.8475,170.089,0.0347
42165.2,3.58599,13450,12050,13450,12050,1822.49,5,0,278.863,0.722001,0.442001,6.25,0.247921,183.597,0.0483,1.7093,8.4137,164.497,0.0252
42396.2,4.32816,13450,12050,13450,12050,1738.69,5,0.77613,231.045,2.122,2.05932,5.77613,0.275572,208.401,0.0514,2.6028,9.6869,186.874,0.0272
42588.1,5.21278,13450,12050,13450,12050,1674.75,5,0.572033,191.836,3.522,3.40217,4.7959,0.342949,179.065,0.0483,2.5555,10.2488,157.215,0.0252
42847.4,3.85597,13450,12050,13450,12050,1595.44,5,0,259.338,4.922,4.642,6.25,0.247921,243.664,0.0605,1.6674,7.5923,220.979,0.0326
43056.8,4.77471,13450,12050,13450,12050,1536.67,5,0.235915,209.437,0.322003,0.108059,5.23592,0.310876,184.734,0.0475,1.9184,9.1432,162.886,0.0255
