t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms,terrain_ms,objects_ms,chars_ms,effects_ms
45755.7,5.12816,8008,18885,8008,18885,0,0,0,0,0.567815,0.567815,1,0.8,30.8245,0.122,0,0,0,0
48783.1,0.330318,13450,12050,13450,12050,2885.94,5,0,3027.38,1.402,1.122,6.25,0.247921,30.8245,0.122,0,0,0,0
48840.3,17.4875,13450,12050,13450,12050,2832.44,1,0.42959,57.1836,1.682,1.52229,1.42959,0.726873,19.8684,0.2454,1.9171,9.9314,0.0163,0.0386
49089.8,4.00763,13450,12050,13450,12050,2620.46,5,0,249.524,3.082,2.802,6.2381,0.24858,203.836,0.0469,2.8441,14.0753,180.089,0.0252
49292,4.9452,13450,12050,13450,12050,2470.61,5,0.055405,202.216,4.482,4.21751,5.05541,0.323654,192.071,0.0464,1.7799,9.706,172.447,0.0239
49490.9,5.02747,13450,12050,13450,12050,2339.05,5,0.028085,198.907,5.882,5.60986,4.97268,0.329684,183.927,0.0537,1.6762,8.4686,161.082,0.0363
49710.9,4.5471,13450,12050,13450,12050,2208.99,5,0.526095,219.92,1.282,1.14931,5.49801,0.293216,201.635,0.054,2.548,15.6753,170.787,0.0247
49902.8,5.20965,13450,12050,13450,12050,2106.74,5,0.324883,191.951,2.682,2.49297,4.79879,0.342728,179.179,0.0491,1.681,8.228,159.529,0.0444
50107.2,4.89327,13450,12050,13450,12050,2007.8,5,0.433945,204.363,4.082,3.92351,5.10906,0.319802,190.966,0.0594,1.6678,8.1817,168.033,0.0258
50387.3,3.56953,13450,12050,13450,12050,1886.36,5,0,280.149,5.482,5.202,6.25,0.247921,227.938,0.0458,2.5191,28.468,186.572,0.0272
50619.8,4.30194,13450,12050,13450,12050,1796.21,5,0.811328,232.453,0.882003,0.829174,5.81133,0.273416,201.765,0.0528,2.5596,12.5175,174.096,0.0445
50826.3,4.84237,13450,12050,13450,12050,1723.05,5,0.974092,206.511,2.282,2.27475,5.16277,0.315992,190.431,0.0527,1.6895,8.5747,166.463,0.0263
51045.9,4.5537,13450,12050,13450,12050,1651.53,5,0,219.602,3.682,3.402,5.49005,0.293738,201.049,0.0557,2.026,10.26,173.074,0.0295
51293.8,4.03433,13450,12050,13450,12050,1577.61,5,0,247.872,5.082,4.802,6.19681,0.250881,229.287,0.0462,1.9901,7.5681,208.663,0.0389
51498.2,4.89215,13450,12050,13450,12050,1521.45,5,0.110225,204.409,0.482004,0.232867,5.11023,0.319719,184.217,0.0497,1.79,9.3176,162.339,0.0271
51691.2,5.18137,13450,12050,13450,12050,1471.98,4,0.9352,192.999,1.602,1.58386,4.82498,0.340731,176.169,0.0471,1.6903,8.0478,155.975,0.025
51937.1,4.06639,13450,12050,13450,12050,1413.42,5,0,245.918,3.002,2.722,6.14796,0.25363,194.422,0.0466,1.7159,8.8956,172.862,0.0554
52151.9,4.65468,13450,12050,13450,12050,1365.94,5,0.370943,214.838,4.402,4.22587,5.37094,0.301649,197.707,0.0474,1.719,8.3917,176.749,0.0468
52428.6,3.61397,13450,12050,13450,12050,1309.3,5,0,276.704,5.80201,5.52201,6.25,0.247921,254.495,0.0561,2.0373,7.6818,234.164,0.0467
52670.1,4.14224,13450,12050,13450,12050,1263.59,5,0,241.415,1.20201,0.922006,6.03538,0.260083,213.588,0.0634,2.4988,10.9676,183.675,0.0329
52884.1,4.67205,13450,12050,13450,12050,1225.65,5,0.350973,214.039,2.60201,2.42028,5.35097,0.302996,191.58,0.0533,2.0036,12.8483,164.074,0.0367
53099.1,4.65157,13450,12050,13450,12050,1189.77,5,0.725502,214.981,4.00201,3.92515,5.37453,0.301408,197.404,0.0519,1.7542,7.67,174.016,0.0498
53329.1,4.34774,13450,12050,13450,12050,1153.63,5,0,230.005,5.40201,5.12201,5.75011,0.277176,199.914,0.0461,1.7908,8.5169,178.727,0.0356
53605.5,3.6177,13450,12050,13450,12050,1113.01,5,0,276.419,0.802007,0.522007,6.25,0.247921,233.7,0.0486,1.6937,13.2906,205.955,0.0443
53796.5,5.23633,13450,12050,13450,12050,1086.57,4,0.774335,190.973,1.92201,1.85882,4.77433,0.344603,173.185,0.045,1.6959,7.8204,152.966,0.0266
53980.2,5.44416,13450,12050,13450,12050,1062.31,5,0.366412,183.683,3.32201,3.1446,4.59208,0.358907,171.659,0.0476,1.8661,8.0022,151.223,0.0258
54213.5,4.28489,13450,12050,13450,12050,1032.99,5,0,233.378,4.72201,4.44201,5.83446,0.272009,217.359,0.0569,1.9686,8.1636,194.054,0.065
54501.1,3.4771,13450,12050,13450,12050,999.023,5,0,287.596,0.122008,0.122008,6.25,0.247921,259.9,0.8777,2.5452,11.2586,234.15,0.032
54654.5,6.5217,13450,12050,13450,12050,981.809,3,0.833355,153.334,0.962008,0.915348,3.83335,0.425118,130.26,1.5467,3.3489,7.0732,106.816,0.0521
54796.3,7.05012,13450,12050,13450,12050,966.405,4,0.379395,141.842,2.08201,1.90824,3.54604,0.453266,121.602,0.5319,3.2845,6.4491,98.4098,0.0339
54989.2,5.18527,13450,12050,13450,12050,946.22,5,0.200745,192.854,3.48201,3.25822,4.82135,0.341007,137.399,0.4509,4.3195,6.0339,111.94,0.0364
55134.9,6.861,13450,12050,13450,12050,931.516,3,0.84453,145.751,4.32201,4.27848,3.64378,0.443487,126.392,1.1698,3.1935,6.3565,104.391,0.0292
55300.4,6.04211,13450,12050,13450,12050,915.363,4,0.982158,165.505,5.44201,5.43701,4.13763,0.397212,149.449,0.5115,3.2162,7.6831,123.181,0.0316
55485.8,5.3935,13450,12050,13450,12050,897.921,5,0.61737,185.408,0.84201,0.734873,4.63521,0.355469,166.103,0.5613,3.6449,6.1271,137.484,0.0853
55716.3,4.33822,13450,12050,13450,12050,877.141,5,0,230.509,2.24201,1.96201,5.76273,0.276397,205.317,0.7521,3.4418,6.8716,174.418,0.0553
55912.3,5.10168,13450,12050,13450,12050,860.213,4,0.900343,196.014,3.36201,3.33411,4.90034,0.335049,165.455,0.5403,4.5522,11.0812,135.66,0.0512
56060,6.77232,13450,12050,13450,12050,847.886,4,0.591838,147.66,4.48201,4.36772,3.69149,0.43879,129.235,0.4925,3.2324,5.8721,101.804,0.04
56222,6.17283,13450,12050,13450,12050,834.763,4,0.641842,162,5.60201,5.50173,4.05,0.405055,141.172,0.5868,3.3982,6.5373,117.584,0.0372
56416.3,5.14752,13450,12050,13450,12050,819.551,5,0.498547,194.268,1.00201,0.861604,4.85671,0.338327,129.296,0.5418,3.3059,7.1197,105.304,0.0243
56559.5,6.98356,13450,12050,13450,12050,808.688,4,0.078385,143.194,2.12201,1.86396,3.57984,0.449861,122.869,0.774,3.164,7.4418,97.7322,0.0403
56734.2,5.72232,13450,12050,13450,12050,795.816,4,0.447245,174.754,3.24201,3.08724,4.36886,0.377237,149.677,0.5791,2.9814,11.5886,121.097,0.0376
56872.8,7.21479,13450,12050,13450,12050,785.894,3,0.91235,138.604,4.08201,4.05747,3.46511,0.461527,120.549,0.5343,3.5557,6.9532,96.9835,0.0346
57005,7.56726,13450,12050,13450,12050,776.662,4,0.216055,132.148,5.20201,4.98251,3.3037,0.478452,116.695,0.479,3.3237,5.7307,94.7833,0.0297
57160.5,6.42845,13450,12050,13450,12050,766.068,4,0.10502,155.559,0.322013,0.0714183,3.88896,0.419875,137.731,0.4991,2.9102,5.774,116.307,0.041
57356.9,5.09264,13450,12050,13450,12050,753.102,5,0.014065,196.362,1.72201,1.44595,4.90905,0.334399,179.705,0.5748,3.6718,7.9352,153.628,0.0364
57508.9,6.57816,13450,12050,13450,12050,743.361,3,0.814517,152.018,2.56201,2.51008,3.80045,0.428251,131.704,0.5635,3.6665,6.1511,109.316,0.0215
57653.8,6.90116,13450,12050,13450,12050,734.308,4,0.437095,144.903,3.68201,3.5244,3.62258,0.445591,132.906,0.5318,4.0638,6.2437,103.202,0.0508
57811.1,6.35805,13450,12050,13450,12050,724.727,4,0.36912,157.281,4.80201,4.62537,3.93202,0.41586,126.737,0.4868,4.4987,9.4723,100.185,0.023
58030.6,4.55599,13450,12050,13450,12050,711.768,5,0.856403,219.491,0.202014,0.202014,5.48728,0.293919,174.466,0.4786,4.8622,10.0045,142.181,0.0313
