t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms,terrain_ms,objects_ms,chars_ms,effects_ms
50257.8,6.51079,8008,18885,8008,18885,0,0,0,0,5.98281,5.98281,1,0.8,16.3975,0.0605,0,0,0,0
52471.4,0.451743,13450,12050,13450,12050,3946.82,5,0,2213.65,1.402,1.122,6.25,0.247921,16.3975,0.0605,0,0,0,0
53226.3,1.32464,13450,12050,13450,12050,2943.12,5,0,754.921,1.402,1.122,6.25,0.247921,16.1922,0.2063,1.71,8.3862,0.0052,0.0184
53417.8,5.22174,13450,12050,13450,12050,2764.76,4,0.787678,191.507,2.522,2.46255,4.78768,0.343579,149.442,0.0503,1.7404,8.2677,131.45,0.022
53593,5.70992,13450,12050,13450,12050,2619.58,5,0.166025,175.134,3.922,3.68849,4.37835,0.376439,167.395,0.0467,1.7111,8.115,149.394,0.0223
53774.6,5.50624,13450,12050,13450,12050,2484.31,4,0.70633,181.612,5.042,4.95977,4.54031,0.363077,168.896,0.0581,1.6734,9.0779,147.713,0.0195
53961.6,5.34588,13450,12050,13450,12050,2358.84,5,0.38283,187.06,0.442001,0.269194,4.6765,0.352209,172.653,0.054,1.6572,7.8158,151.761,0.0252
54142.4,5.53196,13450,12050,13450,12050,2249.07,4,0.902022,180.768,1.562,1.53457,4.51919,0.364792,165.268,0.0798,1.721,8.6879,146.231,0.0272
54328.3,5.37809,13450,12050,13450,12050,2146.34,5,0.550515,185.94,2.962,2.83615,4.64849,0.354417,174.665,0.0524,1.8008,8.5059,155.194,0.0206
54512.4,5.43388,13450,12050,13450,12050,2053.5,5,0.151283,184.031,4.362,4.12436,4.60077,0.358212,172.024,0.0432,1.9796,9.6559,151.16,0.0867
54690.1,5.62583,13450,12050,13450,12050,1971.15,4,0.595068,177.751,5.482,5.36862,4.44379,0.370982,161.025,0.0448,1.7525,7.6433,141.522,0.0686
54919.2,4.36551,13450,12050,13450,12050,1874.28,5,0,229.068,0.882003,0.602003,5.72671,0.278628,164.036,0.0484,1.7177,7.3292,141.268,0.102
55298.2,2.63818,13450,12050,13450,12050,1733.34,5,0,379.049,2.282,2.002,6.25,0.247921,177.042,0.0487,2.0605,7.9214,154.129,0.0819
55486.6,5.30783,13450,12050,13450,12050,1670.88,4,0.71002,188.401,3.402,3.32081,4.71002,0.349584,172.09,0.06,1.7244,9.793,147.511,0.0739
55679.3,5.19082,13450,12050,13450,12050,1611.51,5,0.526213,192.648,4.802,4.66934,4.81619,0.341399,174.646,0.0455,3.283,8.4921,152.016,0.0653
55867,5.32687,13450,12050,13450,12050,1557.58,5,0.219398,187.727,0.202004,0.202004,4.69318,0.3509,168.728,0.0447,1.6837,7.1543,148.737,0.076
