t_ms,fps,hero_x,hero_y,hero_units_per_sec,steps,interp_alpha
42281.6,9.56574,8008,18885,0,0,0
43874.6,0.627754,9750,12650,4063.94,5,0
43888.3,73.1294,9750,12650,4029.35,0,0.34186
43896.5,121.755,9750,12650,4008.85,0,0.54719
43909.7,75.3568,9750,12650,3976.18,0,0.878945
43927.1,57.5357,9750,12650,3934.18,1,0.313457
43948.4,47.0544,9750,12650,3884.02,0,0.844757
43964.3,62.6641,9750,12650,3847.19,1,0.24371
43981.7,57.6705,9750,12650,3807.95,0,0.677208
43997.8,61.9145,9750,12650,3772.11,1,0.08099
44013.9,62.0806,9750,12650,3737.04,0,0.483692
44031.1,58.1639,9750,12650,3700.31,0,0.913513
44047.5,61.0285,9750,12650,3665.98,1,0.323157
44064,60.5572,9750,12650,3632.01,0,0.73599
44080.6,60.2453,9750,12650,3598.5,1,0.15096
44097.1,60.6829,9750,12650,3565.84,0,0.562937
44113.7,60.2326,9750,12650,3533.52,0,0.977995
44130.1,61.0206,9750,12650,3502.2,1,0.387693
44146.9,59.3845,9750,12650,3470.58,0,0.808677
44163.6,60.0803,9750,12650,3439.89,1,0.224788
44180.6,58.6221,9750,12650,3408.99,0,0.651248
44197.7,58.5978,9750,12650,3378.63,1,0.077885
44214.1,61.1068,9750,12650,3350.02,0,0.487005
44229.4,65.2507,9750,12650,3323.66,0,0.870143
44249,50.8927,9750,12650,3290.46,1,0.361373
44263.9,67.1871,9750,12650,3265.76,0,0.733468
44280.7,59.6129,9750,12650,3238.35,1,0.15284
44297.6,59.0528,9750,12650,3211.15,0,0.57619
44315,57.4208,9750,12650,3183.65,1,0.0115725
44331.1,62.2878,9750,12650,3158.71,0,0.412935
44347.7,60.2944,9750,12650,3133.36,0,0.827568
44364.9,58.2394,9750,12650,3107.53,1,0.25683
44381.3,60.8391,9750,12650,3083.2,0,0.66775
44398.8,57.0835,9750,12650,3057.69,1,0.105705
44414.7,62.9279,9750,12650,3034.91,0,0.502985
44433.5,53.1553,9750,12650,3008.38,0,0.973305
44447.8,69.8158,9750,12650,2988.49,1,0.33139
44466.2,54.4327,9750,12650,2963.36,0,0.790672
44482.5,61.2385,9750,12650,2941.37,1,0.198913
44500.7,55.0397,9750,12650,2917.29,0,0.65313
44514,74.9833,9750,12650,2899.86,0,0.986538
44532.3,54.7687,9750,12650,2876.34,1,0.443002
44548.1,63.4687,9750,12650,2856.34,0,0.836897
44564.1,62.1848,9750,12650,2836.22,1,0.238925
44580.9,59.7546,9750,12650,2815.57,0,0.657302
44597,62.1099,9750,12650,2796,1,0.059815
44616.3,51.7296,9750,12650,2772.84,0,0.543097
44632,63.8415,9750,12650,2754.37,0,0.934693
44647.9,62.943,9750,12650,2735.87,1,0.331877
44664.2,61.1438,9750,12650,2717.09,0,0.74075
44681,59.7136,9750,12650,2698.13,1,0.159415
44697.6,60.2156,9750,12650,2679.58,0,0.57459
44714.1,60.5074,9750,12650,2661.38,0,0.987763
44730.3,61.5578,9750,12650,2643.72,1,0.393885
44747.5,58.2771,9750,12650,2625.32,0,0.82287
44765.1,56.898,9750,12650,2606.74,1,0.262253
44781,62.7876,9750,12650,2590.13,0,0.66042
44798,58.9717,9750,12650,2572.68,1,0.0843525
44814.7,59.6093,9750,12650,2555.64,0,0.50375
44831.9,58.2791,9750,12650,2538.45,0,0.93272
44847.6,63.7292,9750,12650,2522.92,1,0.325005
44865.3,56.3079,9750,12650,2505.58,0,0.768992
44882.3,58.9223,9750,12650,2489.23,1,0.19328
44899.9,56.9583,9750,12650,2472.54,0,0.632197
44916,62.1728,9750,12650,2457.44,1,0.0343025
