t_ms,fps,hero_x,hero_y,hero_units_per_sec,steps,interp_alpha
25280.4,9.26625,8008,18885,0,0,0
27317.4,0.490904,8650,5050,6798.97,5,0
27362.8,22.0578,8650,5050,6650.95,1,0.133388
27377.9,66.0581,8650,5050,6602.95,0,0.511842
27391.7,72.6712,8650,5050,6559.91,0,0.855857
27405.6,71.8582,8650,5050,6516.96,1,0.203765
27422.3,59.6865,8650,5050,6465.98,0,0.62262
27438.9,60.3774,8650,5050,6416.37,1,0.0366825
27455,62.3142,8650,5050,6369.02,0,0.437875
27473.4,54.3254,8650,5050,6315.56,0,0.898065
27490.1,59.7561,8650,5050,6267.73,1,0.316433
27505.5,64.8336,8650,5050,6224.28,0,0.702035
27523.7,54.9001,8650,5050,6173.74,1,0.157408
27539.4,63.769,8650,5050,6130.89,0,0.549447
27554.3,67.2016,8650,5050,6090.77,0,0.921462
27571,59.78,8650,5050,6046.29,1,0.339662
27587.3,61.5063,8650,5050,6003.67,0,0.746125
27602.9,64.0475,8650,5050,5963.31,1,0.13646
27619.8,59.2056,8650,5050,5920.26,0,0.558717
27636.2,60.9269,8650,5050,5879.01,0,0.969045
27653.5,57.7507,8650,5050,5836.12,1,0.40194
27667.8,70.0977,8650,5050,5801.24,0,0.758585
27688.8,47.5656,8650,5050,5750.6,1,0.284175
27705.5,59.9599,8650,5050,5711.05,0,0.70112
27723.2,56.5307,8650,5050,5669.7,1,0.143358
27739.8,59.9589,8650,5050,5631.25,0,0.56031
27755.6,63.3862,8650,5050,5595.36,0,0.954718
27774.5,52.8997,8650,5050,5552.95,1,0.42731
27792,57.3766,8650,5050,5514.42,0,0.863028
27807.3,64.992,8650,5050,5480.84,1,0.24769
27823.9,60.3468,8650,5050,5445.13,0,0.661963
27840.8,59.2007,8650,5050,5409.21,1,0.084255
27856.4,64.2859,8650,5050,5376.55,0,0.473143
27873.4,58.5875,8650,5050,5341.15,0,0.899855
27888.3,67.1795,8650,5050,5310.67,1,0.271993
27905.1,59.4884,8650,5050,5276.66,0,0.692243
27927.5,44.6999,8650,5050,5232.06,1,0.251527
27944,60.416,8650,5050,5199.55,0,0.665325
27960.2,61.8269,8650,5050,5168.17,1,0.06968
27976.5,61.2764,8650,5050,5136.89,0,0.477668
27993.2,60.2083,8650,5050,5105.44,0,0.892892
28009.8,60.0951,8650,5050,5074.31,1,0.3089
28026.4,60.1768,8650,5050,5043.6,0,0.724343
28043.2,59.6314,8650,5050,5012.99,1,0.143585
28059.9,59.8781,8650,5050,4982.87,0,0.5611
28076.4,60.3908,8650,5050,4953.36,0,0.97507
28093,60.2631,8650,5050,4924.14,1,0.389917
28109.8,59.8115,8650,5050,4895.04,0,0.807898
28132.9,43.2189,8650,5050,4855.33,1,0.386348
28143.2,97.2592,8650,5050,4837.89,0,0.643393
28160.5,57.5669,8650,5050,4808.72,1,0.07767
28955.3,1.2582,8650,5050,3768.73,5,0
28976.7,46.7071,8650,5050,3746.9,0,0.53525
28990.7,71.7618,8650,5050,3732.83,0,0.883625
29006.6,62.7325,8650,5050,3716.86,1,0.282142
29022,64.8365,8650,5050,3701.54,0,0.667727
29035.5,74.3064,8650,5050,3688.27,1,0.0041725
29050.7,65.9487,8650,5050,3673.44,0,0.383255
29067.4,59.6812,8650,5050,3657.19,0,0.802148
29084.1,59.9398,8650,5050,3641.15,1,0.219232
29100.8,60.042,8650,5050,3625.27,0,0.635607
29117.4,59.9459,8650,5050,3609.51,1,0.05265
29134.1,59.9538,8650,5050,3593.89,0,0.469638
29150.7,60.146,8650,5050,3578.45,0,0.885292
29167.5,59.8326,8650,5050,3563.06,1,0.303125
29184.1,60.2384,8650,5050,3547.91,0,0.718143
29200.7,59.8964,8650,5050,3532.8,1,0.13553
29217.4,60.0702,8650,5050,3517.86,0,0.55171
29234.1,59.9837,8650,5050,3503.03,0,0.96849
29250.8,59.8648,8650,5050,3488.29,1,0.386097
29267.4,60.0164,8650,5050,3473.72,0,0.80265
29284.1,59.956,8650,5050,3459.24,1,0.219622
29300.9,59.4541,8650,5050,3444.77,0,0.640115
29318.8,55.9165,8650,5050,3429.52,1,0.08721
29335.5,59.905,8650,5050,3415.4,0,0.504538
29351.1,64.1671,8650,5050,3402.32,0,0.894145
29367.4,61.2632,8650,5050,3388.74,1,0.30222
29384.1,59.8827,8650,5050,3374.95,0,0.719702
29401,59.0629,8650,5050,3361.08,1,0.14298
29417.9,59.3539,8650,5050,3347.39,0,0.564183
29434.1,61.5889,8650,5050,3334.31,0,0.9701
29450.8,59.9686,8650,5050,3320.98,1,0.386985
29467.6,59.5192,8650,5050,3307.65,0,0.807018
29500.7,30.2012,8650,5050,3281.7,1,0.6348
29515.7,66.7383,8650,5050,3270.09,1,0.0093975
29530.5,67.5644,8650,5050,3258.7,0,0.379415
29554.9,40.9329,8650,5050,3240.08,0,0.99017
29571.8,59.3831,8650,5050,3227.36,1,0.411165
29587.1,65.3689,8650,5050,3215.9,0,0.79361
29600.7,73.2853,8650,5050,3205.74,1,0.134742
29617.4,59.8738,8650,5050,3193.4,0,0.552288
29634.1,60.02,8650,5050,3181.18,0,0.968815
29650.8,59.9115,8650,5050,3169.03,1,0.386097
29667.4,60.1001,8650,5050,3157.01,0,0.80207
29684.1,59.8731,8650,5050,3145.03,1,0.21962
29717.4,30.041,8650,5050,3121.44,1,0.051815
29732.7,65.3185,8650,5050,3110.71,0,0.434555
29745.9,75.8029,8650,5050,3101.52,0,0.764358
29759.2,74.9603,8650,5050,3092.28,1,0.0978675
29776.1,59.2021,8650,5050,3080.66,0,0.52015
29790.3,70.4374,8650,5050,3070.96,0,0.875075
29804.8,69.0942,8650,5050,3061.14,1,0.2369
29825.2,49.0247,8650,5050,3047.4,0,0.746848
29841.1,62.8812,8650,5050,3036.77,1,0.144423
29866,40.2248,8650,5050,3020.31,0,0.76593
29882.1,61.9967,8650,5050,3009.72,1,0.169178
29904,45.6186,8650,5050,2995.45,0,0.7172
29918.3,69.8827,8650,5050,2986.21,1,0.0749425
29934.2,63.1588,8650,5050,2976.05,0,0.47077
29950.7,60.4664,8650,5050,2965.51,0,0.884223
29967.5,59.5309,8650,5050,2954.89,1,0.304172
29985.1,56.7543,8650,5050,2943.82,0,0.744667
30001.8,60.0539,8650,5050,2933.44,1,0.16096
30018.4,59.9711,8650,5050,2923.11,0,0.577828
30050.7,30.9533,8650,5050,2903.32,1,0.385495
30065,70.14,8650,5050,2894.67,0,0.741925
30079.5,69.1429,8650,5050,2885.94,1,0.103495
30095.4,62.9592,8650,5050,2876.42,0,0.500578
30109.7,69.4594,8650,5050,2867.85,0,0.8605
30143,30.0474,8650,5050,2848.22,1,0.69252
30161.4,54.431,8650,5050,2837.5,1,0.151818
30307.7,6.83738,8650,5050,2754.95,3,0.808187
30329.3,46.2991,8650,5050,2743.16,1,0.348155
30347.4,55.223,8650,5050,2733.36,0,0.800865
30362,68.1682,8650,5050,2725.47,1,0.167605
30380.5,54.09,8650,5050,2715.59,0,0.629798
30397,60.7423,8650,5050,2706.85,1,0.0413725
30413.6,60.3253,8650,5050,2698.11,0,0.455792
30429.2,64.1338,8650,5050,2689.94,0,0.845603
30445.8,59.988,8650,5050,2681.26,1,0.262352
30461.5,63.8297,8650,5050,2673.15,0,0.65402
30476,68.7578,8650,5050,2665.67,1,0.017615
30492.6,60.393,8650,5050,2657.2,0,0.43157
