t_ms,fps,hero_x,hero_y,hero_units_per_sec,steps,interp_alpha
33444.7,9.43471,8008,18885,0,0,0
35031.8,0.630085,4950,14850,3190.04,5,0
35140,9.23968,4950,14850,2986.38,2,0.705723
35157.3,57.9989,4950,14850,2956.32,1,0.136765
35167.8,94.7517,4950,14850,2938.21,0,0.400613
35177.1,107.661,4950,14850,2922.46,0,0.632823
35202.6,39.1833,4950,14850,2880.03,1,0.27085
35212.5,101.346,4950,14850,2863.95,0,0.51753
35221.1,115.761,4950,14850,2850.03,0,0.733492
35235,72.1324,4950,14850,2827.96,1,0.0800775
35251.8,59.6207,4950,14850,2801.71,0,0.499395
35268.7,58.9456,4950,14850,2775.65,0,0.923515
35285.3,60.4814,4950,14850,2750.72,1,0.336865
35302.1,59.4934,4950,14850,2725.82,0,0.75708
35318.7,60.1685,4950,14850,2701.65,1,0.17258
35335.4,59.9183,4950,14850,2677.8,0,0.589815
35351.9,60.3832,4950,14850,2654.55,1,0.0038375
35368.6,60.0734,4950,14850,2631.58,0,0.419995
35385.2,60.0251,4950,14850,2608.99,0,0.836487
35402.4,58.3431,4950,14850,2586.15,1,0.264987
35418.7,61.3764,4950,14850,2564.8,0,0.67231
35435.4,59.8738,4950,14850,2543.28,1,0.089855
35452.8,57.5523,4950,14850,2521.28,0,0.524243
35469.4,59.9639,4950,14850,2500.51,0,0.94116
35486.1,60.1442,4950,14850,2480.14,1,0.356827
35502.1,62.4029,4950,14850,2460.83,0,0.75745
35519,59.0538,4950,14850,2440.74,1,0.180792
35537.1,55.3652,4950,14850,2419.67,0,0.63234
35553.2,62.0109,4950,14850,2401.16,1,0.035495
35570,59.3563,4950,14850,2382.13,0,0.45668
35587.5,57.4482,4950,14850,2362.78,0,0.891855
35603.4,62.8141,4950,14850,2345.35,1,0.289855
35619,63.8166,4950,14850,2328.45,0,0.681602
35635.7,60.1685,4950,14850,2310.79,1,0.0971025
35652.1,60.7825,4950,14850,2293.56,0,0.508405
35669.6,57.204,4950,14850,2275.54,0,0.945437
35686.4,59.3616,4950,14850,2258.44,1,0.366585
35703.2,59.5118,4950,14850,2241.64,0,0.78667
35719.7,60.8987,4950,14850,2225.46,1,0.197187
35737.1,57.2341,4950,14850,2208.5,0,0.63399
35753.5,61.0612,4950,14850,2192.83,1,0.043415
35769.9,61.0486,4950,14850,2177.39,0,0.452925
35786.5,60.3847,4950,14850,2161.99,0,0.866938
35802.5,62.208,4950,14850,2147.25,1,0.268815
35819.9,57.7334,4950,14850,2131.59,0,0.70184
35837,58.2761,4950,14850,2116.3,1,0.130832
35853.1,62.2673,4950,14850,2102.19,0,0.532327
35869.8,59.9484,4950,14850,2087.73,0,0.949353
35886.5,59.6065,4950,14850,2073.38,1,0.36877
35903.1,60.3013,4950,14850,2059.4,0,0.783355
35920,59.1516,4950,14850,2045.33,1,0.205997
35936.5,60.666,4950,14850,2031.8,0,0.61809
35953.3,59.5859,4950,14850,2018.21,1,0.0376525
35970,59.9097,4950,14850,2004.87,0,0.454948
35986.7,59.8261,4950,14850,1991.69,0,0.872825
36003.2,60.4979,4950,14850,1978.82,1,0.286063
36020,59.7761,4950,14850,1965.96,0,0.70429
36036.6,60.0446,4950,14850,1953.33,1,0.120647
36053.6,58.7972,4950,14850,1940.6,0,0.545838
36070.6,58.8339,4950,14850,1928.04,0,0.970762
36087.2,60.2827,4950,14850,1915.93,1,0.385475
36103.9,59.9797,4950,14850,1903.92,0,0.802283
36120.3,60.828,4950,14850,1892.22,1,0.213278
36137.3,58.8956,4950,14850,1880.29,0,0.637757
36153.2,62.6751,4950,14850,1869.21,1,0.03664
36170,59.8072,4950,14850,1857.75,0,0.45465
36186.7,59.8777,4950,14850,1846.43,0,0.872168
36203.4,59.8315,4950,14850,1835.24,1,0.290008
36220,60.0514,4950,14850,1824.23,0,0.706317
36236.7,60.1717,4950,14850,1813.37,1,0.121795
36253.4,59.5688,4950,14850,1802.54,0,0.541478
36270.6,58.2611,4950,14850,1791.59,0,0.97058
36292.9,44.9442,4950,14850,1777.59,1,0.526825
36303.7,92.6157,4950,14850,1770.88,0,0.796758
36320.2,60.2802,4950,14850,1760.66,1,0.211488
36336.8,60.3191,4950,14850,1750.57,0,0.62595
36354.2,57.4917,4950,14850,1740.1,1,0.060795
36370.2,62.4399,4950,14850,1730.58,0,0.46118
36386.9,59.8659,4950,14850,1720.75,0,0.87878
36403.6,59.9057,4950,14850,1711.05,1,0.296102
36419.5,62.9022,4950,14850,1701.9,0,0.693545
36436.5,59.0636,4950,14850,1692.27,1,0.116817
36453.6,58.3843,4950,14850,1682.64,0,0.545015
36470.5,58.9546,4950,14850,1673.2,0,0.96907
36486.4,63.0235,4950,14850,1664.48,1,0.365748
36502.8,60.9678,4950,14850,1655.55,0,0.7758
36523.5,48.2579,4950,14850,1644.41,1,0.29385
36540.9,57.6721,4950,14850,1635.2,0,0.727335
36554.7,72.5011,4950,14850,1627.94,1,0.0721575
36572.2,57.1288,4950,14850,1618.83,0,0.509765
36589,59.459,4950,14850,1610.17,0,0.930223
36604.2,65.8683,4950,14850,1602.44,1,0.309768
36621.2,58.7851,4950,14850,1593.86,0,0.735045
36636.8,64.1433,4950,14850,1586.07,1,0.124798
36654,57.9183,4950,14850,1577.54,0,0.55644
36679,40.0848,4950,14850,1565.37,1,0.180118
36690,91.1993,4950,14850,1560.08,0,0.454242
36705.2,65.7147,4950,14850,1552.8,0,0.834675
