t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha
46497.7,6.69395,8008,18885,8008,18885,0,0,0
48320.7,0.548533,8050,11850,8050,11850,3859,5,0
48627.9,3.25519,8050,11850,8050,11850,3302.5,5,0
48644,62.2921,8050,11850,8050,11850,3277.79,0,0.401335
48654.8,92.2705,8050,11850,8050,11850,3261.33,0,0.672278
48667,82.023,8050,11850,8050,11850,3243,0,0.97707
48684.1,58.5182,8050,11850,8050,11850,3217.65,1,0.404287
48699.5,65.1474,8050,11850,8050,11850,3195.22,0,0.788032
48716.5,58.5881,8050,11850,8050,11850,3170.64,1,0.21474
48732.9,60.9243,8050,11850,8050,11850,3147.36,0,0.625085
48749,62.3406,8050,11850,8050,11850,3124.93,1,0.0261075
48766.3,57.7257,8050,11850,8050,11850,3101.07,0,0.45919
48782.6,61.3294,8050,11850,8050,11850,3078.94,0,0.866825
48798.6,62.5598,8050,11850,8050,11850,3057.55,1,0.266443
48818.1,51.3801,8050,11850,8050,11850,3031.9,0,0.753012
48835.5,57.4848,8050,11850,8050,11850,3009.34,1,0.18791
48849.4,71.7355,8050,11850,8050,11850,2991.5,0,0.536412
48866.8,57.6279,8050,11850,8050,11850,2969.59,0,0.97023
48886.1,51.5629,8050,11850,8050,11850,2945.48,1,0.455075
48899.5,74.6642,8050,11850,8050,11850,2929.06,0,0.789908
48915.8,61.6618,8050,11850,8050,11850,2909.41,1,0.195345
48933.2,57.3148,8050,11850,8050,11850,2888.57,0,0.631532
48949.3,62.0278,8050,11850,8050,11850,2869.57,1,0.0345775
48966.7,57.4135,8050,11850,8050,11850,2849.33,0,0.470015
48982.4,63.9468,8050,11850,8050,11850,2831.4,0,0.860965
48999.5,58.305,8050,11850,8050,11850,2811.99,1,0.289745
49016.4,59.4325,8050,11850,8050,11850,2793.2,0,0.71039
49031.7,65.0089,8050,11850,8050,11850,2776.25,1,0.0949525
49054.4,44.2179,8050,11850,8050,11850,2751.69,0,0.660335
49084.6,33.072,8050,11850,8050,11850,2719.52,1,0.416263
49098.5,71.9751,8050,11850,8050,11850,2705,0,0.763605
49110.4,83.9891,8050,11850,8050,11850,2692.67,1,0.0612625
49123.6,75.5464,8050,11850,8050,11850,2679.1,0,0.392185
49134.8,89.4102,8050,11850,8050,11850,2667.73,0,0.671795
49150.1,65.6431,8050,11850,8050,11850,2652.41,1,0.0526425
49172.1,45.4036,8050,11850,8050,11850,2630.57,0,0.60326
49184.6,79.6775,8050,11850,8050,11850,2618.28,0,0.917025
49199.8,66.024,8050,11850,8050,11850,2603.6,1,0.295675
49217,57.9166,8050,11850,8050,11850,2587.07,0,0.72733
49237.7,48.291,8050,11850,8050,11850,2567.52,1,0.245025
49269.4,31.6,8050,11850,8050,11850,2538.21,1,0.036165
49283.6,70.3502,8050,11850,8050,11850,2525.26,0,0.39153
49296,80.5036,8050,11850,8050,11850,2514.05,0,0.702075
49306,99.985,8050,11850,8050,11850,2505.09,0,0.952112
49317.5,87.5588,8050,11850,8050,11850,2494.95,1,0.237635
49336.6,52.1951,8050,11850,8050,11850,2478.11,0,0.716608
49350.5,71.8866,8050,11850,8050,11850,2466.02,1,0.0643775
49365.9,65.2141,8050,11850,8050,11850,2452.84,0,0.44773
49388,45.0607,8050,11850,8050,11850,2434.01,1,0.0025375
49407.1,52.4689,8050,11850,8050,11850,2418.06,0,0.47901
49418.3,89.2674,8050,11850,8050,11850,2408.79,0,0.759067
49432.9,68.5396,8050,11850,8050,11850,2396.81,1,0.12382
49449.7,59.3704,8050,11850,8050,11850,2383.14,0,0.544905
49466.9,58.4474,8050,11850,8050,11850,2369.41,0,0.97264
49484,58.3022,8050,11850,8050,11850,2355.8,1,0.40144
49501.2,58.0511,8050,11850,8050,11850,2342.29,0,0.832095
49518,59.7804,8050,11850,8050,11850,2329.31,1,0.250293
49533.7,63.334,8050,11850,8050,11850,2317.2,0,0.645025
49551.2,57.2413,8050,11850,8050,11850,2303.94,1,0.0817725
49568.5,58.0023,8050,11850,8050,11850,2291.01,0,0.51279
49584.4,62.8291,8050,11850,8050,11850,2279.19,0,0.910695
49601.9,56.9288,8050,11850,8050,11850,2266.3,1,0.34984
49617.6,63.9272,8050,11850,8050,11850,2254.93,0,0.74091
49633.9,61.2261,8050,11850,8050,11850,2243.19,1,0.149233
49651.5,57.0073,8050,11850,8050,11850,2230.71,0,0.587772
49666.5,66.6782,8050,11850,8050,11850,2220.16,0,0.962708
49686.2,50.7277,8050,11850,8050,11850,2206.43,1,0.455535
49701.1,66.865,8050,11850,8050,11850,2196.13,0,0.829422
49717.4,61.3591,8050,11850,8050,11850,2185.01,1,0.23686
49737.8,49.1413,8050,11850,8050,11850,2171.29,0,0.745597
49754.8,58.8547,8050,11850,8050,11850,2159.96,1,0.170373
49768.3,73.8432,8050,11850,8050,11850,2151.02,0,0.508928
49784,63.7389,8050,11850,8050,11850,2140.75,0,0.901152
49801.2,58.236,8050,11850,8050,11850,2129.62,1,0.33044
49820.9,50.7195,8050,11850,8050,11850,2116.99,0,0.823348
49834.4,74.0236,8050,11850,8050,11850,2108.42,1,0.161077
49850,63.9186,8050,11850,8050,11850,2098.58,0,0.5522
49866.4,60.9682,8050,11850,8050,11850,2088.36,0,0.96225
49882.8,60.9659,8050,11850,8050,11850,2078.24,1,0.372315
49898.7,62.8994,8050,11850,8050,11850,2068.52,0,0.769775
49915.3,60.4336,8050,11850,8050,11850,2058.51,1,0.183453
49933.8,53.9011,8050,11850,8050,11850,2047.39,0,0.647265
49950.5,60.1081,8050,11850,8050,11850,2037.53,1,0.0631825
49968.9,54.2379,8050,11850,8050,11850,2026.71,0,0.524115
49983.4,69.0684,8050,11850,8050,11850,2018.29,0,0.886075
50000,60.2856,8050,11850,8050,11850,2008.73,1,0.300768
50018.4,54.1958,8050,11850,8050,11850,1998.2,0,0.762057
50034.8,61.0419,8050,11850,8050,11850,1988.95,1,0.171613
50049.5,68.1947,8050,11850,8050,11850,1980.74,0,0.53821
50066.9,57.2364,8050,11850,8050,11850,1971.04,0,0.974995
50082.3,65.2729,8050,11850,8050,11850,1962.62,1,0.358003
50099.6,57.7217,8050,11850,8050,11850,1953.18,0,0.791115
50116.1,60.4237,8050,11850,8050,11850,1944.24,1,0.20486
50131.9,63.2535,8050,11850,8050,11850,1935.79,0,0.600095
50148.8,59.4075,8050,11850,8050,11850,1926.86,1,0.0209175
50165.7,59.2691,8050,11850,8050,11850,1918,0,0.442722
50183,57.5917,8050,11850,8050,11850,1908.96,0,0.876813
50198.9,62.8496,8050,11850,8050,11850,1900.75,1,0.274588
50215.2,61.5995,8050,11850,8050,11850,1892.45,0,0.680435
50234.8,51.0256,8050,11850,8050,11850,1882.53,1,0.170385
50249.3,68.7763,8050,11850,8050,11850,1875.23,0,0.533882
50266.4,58.3833,8050,11850,8050,11850,1866.71,0,0.962088
50283.4,58.9574,8050,11850,8050,11850,1858.35,1,0.386122
50299.8,61.0743,8050,11850,8050,11850,1850.34,0,0.79546
50316.4,60.1211,8050,11850,8050,11850,1842.28,1,0.211287
50332.6,61.8016,8050,11850,8050,11850,1834.51,0,0.615807
50349.1,60.4149,8050,11850,8050,11850,1826.63,1,0.0296125
50366.1,58.8017,8050,11850,8050,11850,1818.6,0,0.45477
50383,59.3951,8050,11850,8050,11850,1810.72,0,0.87568
50399.8,59.2712,8050,11850,8050,11850,1802.89,1,0.29747
50415.6,63.6088,8050,11850,8050,11850,1795.65,0,0.690498
50435.5,50.1145,8050,11850,8050,11850,1786.55,1,0.189355
50448.2,78.8948,8050,11850,8050,11850,1780.82,0,0.506233
50464.8,60.3417,8050,11850,8050,11850,1773.38,0,0.92054
50482.2,57.3714,8050,11850,8050,11850,1765.62,1,0.356297
50498.5,61.1991,8050,11850,8050,11850,1758.41,0,0.7648
50515.7,58.3271,8050,11850,8050,11850,1750.91,1,0.193418
50535.8,49.6315,8050,11850,8050,11850,1742.17,0,0.69713
50550.4,68.4772,8050,11850,8050,11850,1735.9,1,0.062215
50567.2,59.8229,8050,11850,8050,11850,1728.77,0,0.480115
50581.6,69.3443,8050,11850,8050,11850,1722.66,0,0.840635
50597.9,61.1116,8050,11850,8050,11850,1715.79,1,0.249722
50615,58.5209,8050,11850,8050,11850,1708.67,0,0.67692
50632.8,56.1725,8050,11850,8050,11850,1701.31,1,0.121978
50649.8,58.8824,8050,11850,8050,11850,1694.35,0,0.546552
50669.1,51.7183,8050,11850,8050,11850,1686.5,1,0.02994
50685.6,60.67,8050,11850,8050,11850,1679.86,0,0.442005
50700.7,66.4019,8050,11850,8050,11850,1673.84,0,0.8185
50717.4,59.867,8050,11850,8050,11850,1667.21,1,0.236092
50737.4,50.0691,8050,11850,8050,11850,1659.36,0,0.735403
50751.5,70.7854,8050,11850,8050,11850,1653.85,1,0.0885825
50767.8,61.4946,8050,11850,8050,11850,1647.55,0,0.495122
50787.7,50.2174,8050,11850,8050,11850,1639.9,0,0.992957
50807.2,51.1127,8050,11850,8050,11850,1632.46,1,0.482073
50826.1,53.0158,8050,11850,8050,11850,1625.34,0,0.95363
50837.9,84.4345,8050,11850,8050,11850,1620.91,1,0.249718
50851.8,72.0477,8050,11850,8050,11850,1615.74,0,0.59671
50867.2,65.0157,8050,11850,8050,11850,1610.05,0,0.981233
50882.8,64.0213,8050,11850,8050,11850,1604.32,1,0.371727
50898.8,62.6347,8050,11850,8050,11850,1598.5,0,0.770868
50915.3,60.5818,8050,11850,8050,11850,1592.53,1,0.183533
50931.5,61.5226,8050,11850,8050,11850,1586.69,0,0.589887
50949.2,56.4911,8050,11850,8050,11850,1580.38,1,0.032435
50965.5,61.3399,8050,11850,8050,11850,1574.61,0,0.44
50982.4,59.3585,8050,11850,8050,11850,1568.7,0,0.86117
50998.6,61.7497,8050,11850,8050,11850,1563.05,1,0.26603
51015.3,59.7754,8050,11850,8050,11850,1557.27,0,0.684263
51031.7,60.8687,8050,11850,8050,11850,1551.62,1,0.0949825
51049.7,55.7199,8050,11850,8050,11850,1545.51,0,0.543655
51065.7,62.6339,8050,11850,8050,11850,1540.1,0,0.9428
51081.5,63.2423,8050,11850,8050,11850,1534.79,1,0.338105
51097.9,60.9511,8050,11850,8050,11850,1529.32,0,0.74827
51114.6,59.7536,8050,11850,8050,11850,1523.77,1,0.166655
51131.7,58.4518,8050,11850,8050,11850,1518.15,0,0.594357
51147.8,62.3088,8050,11850,8050,11850,1512.91,0,0.995585
51164.9,58.2052,8050,11850,8050,11850,1507.34,1,0.4251
51181.2,61.6972,8050,11850,8050,11850,1502.12,0,0.830305
51198.1,59.0591,8050,11850,8050,11850,1496.71,1,0.25361
51214.9,59.5735,8050,11850,8050,11850,1491.39,0,0.67326
51232,58.5011,8050,11850,8050,11850,1486,1,0.100603
51249.2,58.101,8050,11850,8050,11850,1480.62,0,0.530887
51264.7,64.5178,8050,11850,8050,11850,1475.8,0,0.918378
51281.4,59.7211,8050,11850,8050,11850,1470.64,1,0.33699
51300.2,53.2805,8050,11850,8050,11850,1464.89,0,0.806205
51316.2,62.5575,8050,11850,8050,11850,1460.03,1,0.205838
51334,56.176,8050,11850,8050,11850,1454.66,0,0.650868
51348.5,68.8606,8050,11850,8050,11850,1450.3,1,0.01392
51364.7,61.921,8050,11850,8050,11850,1445.49,0,0.41766
51381.4,59.6751,8050,11850,8050,11850,1440.53,0,0.836595
51398.3,59.2962,8050,11850,8050,11850,1435.57,1,0.258207
51415.1,59.2709,8050,11850,8050,11850,1430.65,0,0.68
51432.3,58.3781,8050,11850,8050,11850,1425.68,1,0.108242
51448.7,60.821,8050,11850,8050,11850,1420.95,0,0.519285
51465.4,59.8645,8050,11850,8050,11850,1416.17,0,0.936895
51483,56.8974,8050,11850,8050,11850,1411.18,1,0.376283
51497.9,66.8829,8050,11850,8050,11850,1406.96,0,0.75007
51515.9,55.7311,8050,11850,8050,11850,1401.92,1,0.198653
51531.5,64.1527,8050,11850,8050,11850,1397.58,0,0.588347
51549.5,55.609,8050,11850,8050,11850,1392.61,1,0.037915
51565.5,62.3745,8050,11850,8050,11850,1388.2,0,0.43872
51584.8,51.9267,8050,11850,8050,11850,1382.95,0,0.920168
51597.7,77.4707,8050,11850,8050,11850,1379.45,1,0.24287
51615.2,56.9888,8050,11850,8050,11850,1374.72,0,0.681553
51631.1,63.0855,8050,11850,8050,11850,1370.47,1,0.07784
51648.6,57.0086,8050,11850,8050,11850,1365.81,0,0.51637
51665,60.9258,8050,11850,8050,11850,1361.47,0,0.926705
51681.4,60.9503,8050,11850,8050,11850,1357.16,1,0.336875
51698.2,59.4361,8050,11850,8050,11850,1352.77,0,0.757495
51714.4,61.8314,8050,11850,8050,11850,1348.57,1,0.16182
51731.4,59.0308,8050,11850,8050,11850,1344.21,0,0.585328
51750.1,53.2467,8050,11850,8050,11850,1339.4,1,0.05484
51766.9,59.6541,8050,11850,8050,11850,1335.14,0,0.473922
51782.6,63.8876,8050,11850,8050,11850,1331.19,0,0.865235
51798.6,62.4302,8050,11850,8050,11850,1327.16,1,0.265682
51815.5,58.94,8050,11850,8050,11850,1322.93,0,0.689843
51831.7,61.728,8050,11850,8050,11850,1318.91,1,0.094845
51850,54.8137,8050,11850,8050,11850,1314.42,0,0.550935
51864.7,67.8642,8050,11850,8050,11850,1310.81,0,0.919317
51881.3,60.162,8050,11850,8050,11850,1306.76,1,0.334863
51897.9,60.2627,8050,11850,8050,11850,1302.74,0,0.749713
51916,55.3125,8050,11850,8050,11850,1298.4,1,0.20169
51932.1,62.2165,8050,11850,8050,11850,1294.56,0,0.603513
51948.5,61.0266,8050,11850,8050,11850,1290.67,1,0.01317
51964.8,61.1546,8050,11850,8050,11850,1286.81,0,0.42197
51983.2,54.3939,8050,11850,8050,11850,1282.49,0,0.88158
52000.8,56.8844,8050,11850,8050,11850,1278.4,1,0.321068
52015.2,69.4845,8050,11850,8050,11850,1275.06,0,0.68086
52036.9,46.0257,8050,11850,8050,11850,1270.06,1,0.224035
52071.1,29.2573,8050,11850,8050,11850,1262.27,1,0.0785225
52088.3,57.9421,8050,11850,8050,11850,1258.37,0,0.509987
52103,68.1877,8050,11850,8050,11850,1255.08,0,0.876622
52118.1,66.2932,8050,11850,8050,11850,1251.71,1,0.253735
52139.2,47.3364,8050,11850,8050,11850,1247.03,0,0.78187
52153.2,71.4674,8050,11850,8050,11850,1243.94,1,0.13168
52165.3,82.8803,8050,11850,8050,11850,1241.29,0,0.43332
52180.6,65.4703,8050,11850,8050,11850,1237.96,0,0.815172
52199.2,53.5986,8050,11850,8050,11850,1233.91,1,0.281603
52209.7,95.6224,8050,11850,8050,11850,1231.65,0,0.543047
52224.4,68.0717,8050,11850,8050,11850,1228.49,0,0.910308
52235,94.1283,8050,11850,8050,11850,1226.21,1,0.175903
52248.3,75.2819,8050,11850,8050,11850,1223.38,0,0.507987
52264.6,61.0915,8050,11850,8050,11850,1219.91,0,0.91721
52281,61.1639,8050,11850,8050,11850,1216.46,1,0.325947
52299.5,54.1504,8050,11850,8050,11850,1212.59,0,0.787625
52315.4,62.5598,8050,11850,8050,11850,1209.26,1,0.187242
52331.6,61.7738,8050,11850,8050,11850,1205.9,0,0.591945
52347.8,61.9072,8050,11850,8050,11850,1202.57,0,0.995775
52366.8,52.6834,8050,11850,8050,11850,1198.68,1,0.470307
52383.1,61.09,8050,11850,8050,11850,1195.35,0,0.87954
52399.6,60.5565,8050,11850,8050,11850,1192,1,0.292378
52420.9,47.1402,8050,11850,8050,11850,1187.73,0,0.82271
52432.4,86.2448,8050,11850,8050,11850,1185.41,1,0.112582
52448.6,61.8028,8050,11850,8050,11850,1182.19,0,0.517095
52464.5,63.1912,8050,11850,8050,11850,1179.05,0,0.91272
52482.1,56.603,8050,11850,8050,11850,1175.57,1,0.354392
52498.2,62.027,8050,11850,8050,11850,1172.41,0,0.757442
52515.6,57.465,8050,11850,8050,11850,1169.02,1,0.19249
52532.1,60.6689,8050,11850,8050,11850,1165.83,0,0.604563
52548.6,60.781,8050,11850,8050,11850,1162.66,1,0.015875
52571.4,43.8697,8050,11850,8050,11850,1158.3,0,0.585745
52581,103.574,8050,11850,8050,11850,1156.46,0,0.827118
52598.9,56.1013,8050,11850,8050,11850,1153.08,1,0.27274
52614.2,65.1228,8050,11850,8050,11850,1150.19,0,0.65663
52631,59.6271,8050,11850,8050,11850,1147.04,1,0.0759025
52648.3,57.8968,8050,11850,8050,11850,1143.82,0,0.507705
52664.1,62.9279,8050,11850,8050,11850,1140.87,0,0.904985
52680.7,60.2272,8050,11850,8050,11850,1137.81,1,0.32008
52698.2,57.2269,8050,11850,8050,11850,1134.6,0,0.756938
52714.4,61.7265,8050,11850,8050,11850,1131.65,1,0.16195
52733.6,52.0259,8050,11850,8050,11850,1128.16,0,0.64248
52750.2,60.54,8050,11850,8050,11850,1125.18,1,0.05543
52768.7,53.9566,8050,11850,8050,11850,1121.85,0,0.518765
52785,61.3791,8050,11850,8050,11850,1118.94,0,0.92607
52802,58.7289,8050,11850,8050,11850,1115.92,1,0.351755
52817.3,65.3676,8050,11850,8050,11850,1113.22,0,0.734208
52832.7,65.0792,8050,11850,8050,11850,1110.52,1,0.118355
52850.6,55.8263,8050,11850,8050,11850,1107.39,0,0.566172
52867.7,58.4395,8050,11850,8050,11850,1104.41,0,0.993965
52883.9,61.781,8050,11850,8050,11850,1101.62,1,0.39862
52897.5,73.6643,8050,11850,8050,11850,1099.28,0,0.737997
52914.6,58.5083,8050,11850,8050,11850,1096.35,1,0.165287
52933.4,52.9322,8050,11850,8050,11850,1093.13,0,0.63759
52948.1,68.4051,8050,11850,8050,11850,1090.66,1,0.00306
52965.1,58.6301,8050,11850,8050,11850,1087.78,0,0.429462
52981.6,60.6006,8050,11850,8050,11850,1085.01,0,0.842
52999.8,54.9895,8050,11850,8050,11850,1081.98,1,0.296632
53015.2,65.0199,8050,11850,8050,11850,1079.42,0,0.68113
53031.7,60.4785,8050,11850,8050,11850,1076.69,1,0.0945
53047.5,63.2499,8050,11850,8050,11850,1074.09,0,0.489758
53066.9,51.5985,8050,11850,8050,11850,1070.92,0,0.974267
53081.2,70.081,8050,11850,8050,11850,1068.6,1,0.330997
53097.5,61.2441,8050,11850,8050,11850,1065.96,0,0.7392
53114.1,60.3708,8050,11850,8050,11850,1063.29,1,0.153307
53131.5,57.3,8050,11850,8050,11850,1060.49,0,0.589607
53147.7,61.9164,8050,11850,8050,11850,1057.92,0,0.993378
53164.3,60.094,8050,11850,8050,11850,1055.28,1,0.409393
