t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms
27650.2,8.86817,8008,18885,8008,18885,0,0,0,0
29374,0.580112,8650,2750,8650,2750,9367.52,5,0,1723.8
29529.1,6.44808,8650,2750,8650,2750,8594.31,3,0.877123,155.085
29541.5,80.8283,8650,2750,8650,2750,8538.09,1,0.18642,12.3719
29552.1,93.9382,8650,2750,8650,2750,8490.3,0,0.452552,10.6453
29564.7,79.4723,8650,2750,8650,2750,8434.5,0,0.767128,12.583
29581.5,59.6381,8650,2750,8650,2750,8361.27,1,0.186322,16.7678
29601.5,49.9122,8650,2750,8650,2750,8275.42,0,0.687203,20.0352
29616,68.817,8650,2750,8650,2750,8214.25,1,0.050485,14.5313
29632.7,60.0006,8650,2750,8650,2750,8145.19,0,0.467147,16.6665
29648.9,61.7864,8650,2750,8650,2750,8079.23,0,0.871768,16.1848
29665.1,61.5601,8650,2750,8650,2750,8014.1,1,0.277875,16.2443
29682.1,59.0455,8650,2750,8650,2750,7947.3,0,0.701277,16.9361
29698.6,60.4792,8650,2750,8650,2750,7883.15,1,0.114643,16.5346
29715.3,59.9905,8650,2750,8650,2750,7819.52,0,0.531375,16.6693
29731.9,60.2693,8650,2750,8650,2750,7757.19,0,0.94618,16.5922
29748.7,59.1793,8650,2750,8650,2750,7694.73,1,0.368625,16.8978
29765.3,60.3908,8650,2750,8650,2750,7634.49,0,0.782595,16.5588
29782.7,57.6249,8650,2750,8650,2750,7572.36,1,0.216435,17.3536
29798.5,63.0656,8650,2750,8650,2750,7516.47,0,0.612848,15.8565
29816,57.3138,8650,2750,8650,2750,7455.91,1,0.0490425,17.4478
29833.7,56.3806,8650,2750,8650,2750,7395.35,0,0.492458,17.7366
29848.5,67.3555,8650,2750,8650,2750,7345.4,0,0.863622,14.8466
29867,54.3021,8650,2750,8650,2750,7284.38,1,0.32401,18.4155
29882.7,63.3637,8650,2750,8650,2750,7232.89,0,0.718557,15.7819
29898.7,62.8291,8650,2750,8650,2750,7181.69,1,0.116462,15.9162
29915.2,60.5429,8650,2750,8650,2750,7129.32,0,0.529392,16.5172
29937.2,45.3237,8650,2750,8650,2750,7060.54,1,0.08098,22.0635
29953.7,60.6127,8650,2750,8650,2750,7009.97,0,0.493435,16.4982
29966.4,79.012,8650,2750,8650,2750,6971.67,0,0.809843,12.6563
29982,64.0098,8650,2750,8650,2750,6924.96,1,0.200408,15.6226
29998.5,60.5484,8650,2750,8650,2750,6876.26,0,0.6133,16.5157
30014.7,61.7635,8650,2750,8650,2750,6829.17,1,0.01807,16.1908
30031.6,59.268,8650,2750,8650,2750,6780.79,0,0.439882,16.8725
30047.9,61.2505,8650,2750,8650,2750,6734.62,0,0.848042,16.3264
30067.4,51.2313,8650,2750,8650,2750,6680.23,1,0.336025,19.5193
30081.5,71.0707,8650,2750,8650,2750,6641.57,0,0.687787,14.0705
30097.9,61.1943,8650,2750,8650,2750,6597.23,1,0.0963225,16.3414
30114.8,59.0866,8650,2750,8650,2750,6551.93,0,0.51943,16.9243
30131.1,61.1045,8650,2750,8650,2750,6508.71,0,0.928565,16.3654
30147.9,59.5958,8650,2750,8650,2750,6464.99,1,0.348058,16.7797
30164.7,59.5997,8650,2750,8650,2750,6421.85,0,0.767523,16.7786
30181.5,59.4774,8650,2750,8650,2750,6379.19,1,0.18785,16.8131
30197.9,61.1853,8650,2750,8650,2750,6338.27,0,0.596445,16.3438
30214.7,59.4537,8650,2750,8650,2750,6296.7,1,0.01694,16.8198
30231.6,58.9654,8650,2750,8650,2750,6255.33,0,0.440917,16.9591
30249.5,56.0554,8650,2750,8650,2750,6212.4,0,0.886905,17.8395
30266.6,58.3363,8650,2750,8650,2750,6171.7,1,0.315455,17.142
30281.9,65.5063,8650,2750,8650,2750,6135.9,0,0.697097,15.2657
30298.2,61.1273,8650,2750,8650,2750,6097.99,1,0.10608,16.3593
30314.7,60.652,8650,2750,8650,2750,6060.26,0,0.518268,16.4875
30331.6,59.3187,8650,2750,8650,2750,6022.16,0,0.93972,16.8581
30352.1,48.79,8650,2750,8650,2750,5976.47,1,0.45212,20.496
30367,67.0587,8650,2750,8650,2750,5943.67,0,0.824928,14.9123
30383.5,60.6546,8650,2750,8650,2750,5907.82,1,0.237098,16.4868
30399.7,61.7784,8650,2750,8650,2750,5873.04,0,0.64177,16.1869
30415.3,64.082,8650,2750,8650,2750,5839.89,1,0.031895,15.605
30433.7,54.1985,8650,2750,8650,2750,5801.18,0,0.493163,18.4507
30454.6,47.9148,8650,2750,8650,2750,5758.01,1,0.0149225,20.8704
30484.6,33.3659,8650,2750,8650,2750,5697.12,0,0.76419,29.9707
30495.8,89.1623,8650,2750,8650,2750,5674.67,1,0.0445775,11.2155
30510.1,69.6549,8650,2750,8650,2750,5646.18,0,0.40349,14.3565
30523.5,75.0058,8650,2750,8650,2750,5619.98,0,0.736798,13.3323
30546.8,42.7844,8650,2750,8650,2750,5574.64,1,0.321122,23.373
30565.4,53.9345,8650,2750,8650,2750,5539.18,0,0.784648,18.541
30580.1,67.7975,8650,2750,8650,2750,5511.3,1,0.153392,14.7498
30592,83.9708,8650,2750,8650,2750,5488.99,0,0.451115,11.9089
30601.5,105.806,8650,2750,8650,2750,5471.41,0,0.687397,9.4513
30618.7,58.289,8650,2750,8650,2750,5439.79,1,0.116295,17.1559
30631.7,76.838,8650,2750,8650,2750,5416.04,0,0.441655,13.0144
30648.8,58.4317,8650,2750,8650,2750,5385.13,0,0.869505,17.114
30664.8,62.3558,8650,2750,8650,2750,5356.48,1,0.27043,16.037
30681.7,59.4043,8650,2750,8650,2750,5326.74,0,0.691275,16.8338
30698.2,60.4189,8650,2750,8650,2750,5297.81,1,0.105053,16.5511
30714.9,59.8584,8650,2750,8650,2750,5268.93,0,0.522705,16.7061
30731.8,59.1807,8650,2750,8650,2750,5240.04,0,0.94514,16.8974
30748.4,60.098,8650,2750,8650,2750,5211.9,1,0.361127,16.6395
30765.1,60.175,8650,2750,8650,2750,5184.09,0,0.776582,16.6182
30782.3,58.1822,8650,2750,8650,2750,5155.65,1,0.206268,17.1874
30800.4,55.0588,8650,2750,8650,2750,5125.92,0,0.660327,18.1624
30815.4,66.5602,8650,2750,8650,2750,5101.59,1,0.0359275,15.024
30832.3,59.4244,8650,2750,8650,2750,5074.61,0,0.45663,16.8281
30848.7,60.7364,8650,2750,8650,2750,5048.49,0,0.868245,16.4646
30865.3,60.2308,8650,2750,8650,2750,5022.42,1,0.283315,16.6028
30889.5,41.3355,8650,2750,8650,2750,4984.91,0,0.888122,24.1923
30899.3,102.738,8650,2750,8650,2750,4969.98,1,0.13146,9.7335
30915.6,61.2216,8650,2750,8650,2750,4945.12,0,0.539813,16.3341
30933,57.4884,8650,2750,8650,2750,4918.91,0,0.974683,17.3948
30957.2,41.2754,8650,2750,8650,2750,4882.88,1,0.58037,24.2275
30975.1,55.798,8650,2750,8650,2750,4856.56,1,0.028415,17.9218
30986.4,88.6242,8650,2750,8650,2750,4840.13,0,0.310505,11.2836
30999.2,78.0853,8650,2750,8650,2750,4821.62,0,0.630668,12.8065
31015.6,60.9151,8650,2750,8650,2750,4798.1,1,0.041075,16.4163
31034.2,54.0421,8650,2750,8650,2750,4771.87,0,0.503677,18.5041
31049.2,66.4103,8650,2750,8650,2750,4750.73,0,0.880125,15.0579
31066.6,57.462,8650,2750,8650,2750,4726.53,1,0.315195,17.4028
31082.2,64.2121,8650,2750,8650,2750,4705.08,0,0.70453,15.5734
31099.4,58.0943,8650,2750,8650,2750,4681.6,1,0.134865,17.2134
31115.3,62.8741,8650,2750,8650,2750,4660.11,0,0.532485,15.9048
