t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render
32203.1,6.90248,8008,18885,8008,18885,0,0,0,0,5.77494,5.77494
34617,0.414273,8250,3550,8250,3550,6353.67,5,0,2413.87,1.3,1.3
34634.7,56.5553,8250,3550,8250,3550,6307.47,0,0.442045,17.6818,1.3,1.3
34642.7,124.307,8250,3550,8250,3550,6286.67,0,0.64316,8.0446,1.3,1.3
34648.1,186.891,8250,3550,8250,3550,6272.91,0,0.776927,5.3507,1.3,1.3
34657.4,107.497,8250,3550,8250,3550,6249.14,1,0.0094925,9.3026,1.56,1.56
34674.9,57.1909,8250,3550,8250,3550,6204.93,0,0.446625,17.4853,1.56,1.56
34691.3,60.8443,8250,3550,8250,3550,6163.94,0,0.85751,16.4354,1.56,1.56
34708.1,59.5735,8250,3550,8250,3550,6122.64,1,0.27716,16.786,1.82,1.82
34724.7,60.0323,8250,3550,8250,3550,6082.19,0,0.693603,16.6577,1.82,1.82
34741.3,60.3005,8250,3550,8250,3550,6042.45,1,0.108193,16.5836,2.08,2.08
34758.1,59.4725,8250,3550,8250,3550,6002.69,0,0.528555,16.8145,2.08,2.08
34775.2,58.4901,8250,3550,8250,3550,5962.79,0,0.955977,17.0969,2.08,2.08
34791.7,60.8569,8250,3550,8250,3550,5924.93,1,0.366778,16.432,2.34,2.34
34808,61.228,8250,3550,8250,3550,5887.79,0,0.775087,16.3324,2.34,2.34
34825.2,58.1216,8250,3550,8250,3550,5849.15,1,0.20522,17.2053,2.6,2.6
34841.5,61.4432,8250,3550,8250,3550,5813.07,0,0.6121,16.2752,2.6,2.6
34859,57.0539,8250,3550,8250,3550,5774.71,1,0.0502825,17.5273,2.86,2.86
34876.2,58.2601,8250,3550,8250,3550,5737.63,0,0.479392,17.1644,2.86,2.86
34892.6,60.9399,8250,3550,8250,3550,5702.62,0,0.889633,16.4096,2.86,2.86
34908.7,62.0548,8250,3550,8250,3550,5668.65,1,0.292502,16.1148,3.12,3.12
34925.4,59.8473,8250,3550,8250,3550,5633.86,0,0.710232,16.7092,3.12,3.12
34941.8,60.9685,8250,3550,8250,3550,5600.12,1,0.12028,16.4019,3.38,3.38
34959,58.1483,8250,3550,8250,3550,5565.17,0,0.550215,17.1974,3.38,3.38
34976.5,57.1112,8250,3550,8250,3550,5530.04,0,0.987957,17.5097,3.38,3.38
34992,64.7211,8250,3550,8250,3550,5499.4,1,0.37423,15.4509,3.64,3.64
35008.6,60.0215,8250,3550,8250,3550,5466.74,0,0.790748,16.6607,3.64,3.64
35025.4,59.4884,8250,3550,8250,3550,5434.18,1,0.210998,16.81,3.9,3.9
35042,60.465,8250,3550,8250,3550,5402.52,0,0.62446,16.5385,3.9,3.9
35059.2,58.1734,8250,3550,8250,3550,5370,1,0.05421,17.19,4.16,4.16
35075.4,61.6424,8250,3550,8250,3550,5339.67,0,0.459775,16.2226,4.16,4.16
35092.3,58.9685,8250,3550,8250,3550,5308.33,0,0.88373,16.9582,4.16,4.16
35108.9,60.5301,8250,3550,8250,3550,5278.15,1,0.296748,16.5207,4.42,4.42
35125.6,59.6338,8250,3550,8250,3550,5247.87,0,0.715972,16.769,4.42,4.42
35141.1,64.5136,8250,3550,8250,3550,5220.18,1,0.103487,15.5006,4.68,4.68
35157.9,59.566,8250,3550,8250,3550,5190.52,0,0.52319,16.7881,4.68,4.68
35175.3,57.4861,8250,3550,8250,3550,5160.14,0,0.958077,17.3955,4.68,4.68
35191.9,60.266,8250,3550,8250,3550,5131.49,1,0.372905,16.5931,4.94,4.94
35208.7,59.4647,8250,3550,8250,3550,5102.78,0,0.793323,16.8167,4.94,4.94
35225.2,60.6734,8250,3550,8250,3550,5074.95,1,0.205365,16.4817,5.2,5.2
35242.3,58.3781,8250,3550,8250,3550,5046.35,0,0.633608,17.1297,5.2,5.2
35258.8,60.7002,8250,3550,8250,3550,5019.14,1,0.0454675,16.4744,5.46,5.46
35275.5,60.0788,8250,3550,8250,3550,4991.95,0,0.461587,16.6448,5.46,5.46
35292,60.3333,8250,3550,8250,3550,4965.16,0,0.875952,16.5746,5.46,5.46
35309.1,58.6648,8250,3550,8250,3550,4937.91,1,0.302103,17.046,5.72,5.72
35326.9,56.0325,8250,3550,8250,3550,4909.7,0,0.748272,17.8468,5.72,5.72
35343.6,60.0687,8250,3550,8250,3550,4883.68,1,0.164463,16.6476,5.98,5.98
35358.4,67.2382,8250,3550,8250,3550,4860.66,0,0.536275,14.8725,5.98,5.98
35376.7,54.7999,8250,3550,8250,3550,4832.71,0,0.99248,18.2482,5.98,5.98
35392.2,64.4799,8250,3550,8250,3550,4809.21,1,0.380197,15.5087,6.24,6.24
35524,7.58933,8250,3550,8250,3550,4618.39,3,0.674298,131.764,0.0200024,0.0200024
35532.6,115.837,8250,3550,8250,3550,4606.41,0,0.890118,8.6328,0.0200024,0.0200024
35542.3,102.542,8250,3550,8250,3550,4592.96,1,0.13392,9.7521,0.280002,0.280002
35559.9,57.0571,8250,3550,8250,3550,4568.98,0,0.572078,17.5263,0.280002,0.280002
35576.3,61.0583,8250,3550,8250,3550,4546.79,0,0.981523,16.3778,0.280002,0.280002
35592.2,62.6531,8250,3550,8250,3550,4525.38,1,0.380545,15.9609,0.540002,0.540002
35610.2,55.6694,8250,3550,8250,3550,4501.52,0,0.829625,17.9632,0.540002,0.540002
35625.7,64.6179,8250,3550,8250,3550,4481.17,1,0.216515,15.4756,0.800002,0.800002
35644.1,54.1486,8250,3550,8250,3550,4457.12,0,0.678208,18.4677,0.800002,0.800002
35661.5,57.4396,8250,3550,8250,3550,4434.68,1,0.113448,17.4096,1.06,1.06
35678.4,59.1474,8250,3550,8250,3550,4413.11,0,0.53612,16.9069,1.06,1.06
35694.2,63.4035,8250,3550,8250,3550,4393.17,0,0.93042,15.772,1.06,1.06
35709.3,66.2436,8250,3550,8250,3550,4374.25,1,0.307815,15.0958,1.32,1.32
35726.6,57.9079,8250,3550,8250,3550,4352.81,0,0.739535,17.2688,1.32,1.32
35742.6,62.4395,8250,3550,8250,3550,4333.12,1,0.139922,16.0155,1.58,1.58
35759.9,57.6283,8250,3550,8250,3550,4311.98,0,0.573738,17.3526,1.58,1.58
35776.1,61.9329,8250,3550,8250,3550,4292.49,0,0.9774,16.1465,1.58,1.58
35792.8,59.8623,8250,3550,8250,3550,4272.52,1,0.395025,16.705,1.84,1.84
35809.4,60.2827,8250,3550,8250,3550,4252.86,0,0.809738,16.5885,1.84,1.84
35826,59.9999,8250,3550,8250,3550,4233.3,1,0.226405,16.6667,2.1,2.1
35842.6,60.4858,8250,3550,8250,3550,4214.07,0,0.639725,16.5328,2.1,2.1
35859.3,59.9003,8250,3550,8250,3550,4194.83,1,0.057085,16.6944,2.36,2.36
35876,59.6193,8250,3550,8250,3550,4175.67,0,0.476413,16.7731,2.36,2.36
35892.7,60.188,8250,3550,8250,3550,4156.87,0,0.891778,16.6146,2.36,2.36
35909.4,59.7182,8250,3550,8250,3550,4138.09,1,0.31041,16.7453,2.62,2.62
35926.1,59.9603,8250,3550,8250,3550,4119.55,0,0.727352,16.6777,2.62,2.62
35942.7,60.0893,8250,3550,8250,3550,4101.22,1,0.1434,16.6419,2.88,2.88
35960.2,57.301,8250,3550,8250,3550,4082.16,0,0.579692,17.4517,2.88,2.88
35976.3,61.8471,8250,3550,8250,3550,4064.67,0,0.983915,16.1689,2.88,2.88
35992.7,61.0568,8250,3550,8250,3550,4047.1,1,0.39337,16.3782,3.14,3.14
36119.6,7.8791,8250,3550,8250,3550,3915.96,3,0.56632,126.918,3.92,3.92
36129.3,103.239,8250,3550,8250,3550,3906.29,0,0.808478,9.6863,3.92,3.92
36137,131.053,8250,3550,8250,3550,3898.72,0,0.99924,7.6305,3.92,3.92
