t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render
30788.2,6.04336,8008,18885,8008,18885,0,0,0,0,4.77256,4.77256
32966,0.459188,6850,4950,6850,4950,6420.84,5,0,2177.76,1.3,1.04
33178.5,4.70637,6850,4950,6850,4950,5850.07,5,0.311947,212.478,1.402,1.20935
33191.4,77.6325,6850,4950,6850,4950,5818.71,0,0.633977,12.8812,1.402,1.29951
33200.1,114.78,6850,4950,6850,4950,5797.69,0,0.851785,8.7123,1.402,1.3605
33215.6,64.6028,6850,4950,6850,4950,5760.72,1,0.238765,15.4792,1.682,1.46885
33232.7,58.4559,6850,4950,6850,4950,5720.4,0,0.666438,17.1069,1.682,1.5886
33249.7,58.6799,6850,4950,6850,4950,5680.8,1,0.0924775,17.0416,1.962,1.70789
33266.8,58.4286,6850,4950,6850,4950,5641.57,0,0.52035,17.1149,1.962,1.8277
33283.6,59.4926,6850,4950,6850,4950,5603.57,0,0.94057,16.8088,1.962,1.94536
33299.3,63.8676,6850,4950,6850,4950,5568.63,1,0.332005,15.6574,2.242,2.05496
33316,59.8269,6850,4950,6850,4950,5531.8,0,0.749878,16.7149,2.242,2.17197
33333.3,57.8048,6850,4950,6850,4950,5494.2,1,0.182368,17.2996,2.522,2.29306
33349.7,61.1329,6850,4950,6850,4950,5459.12,0,0.591313,16.3578,2.522,2.40757
33367.6,55.6437,6850,4950,6850,4950,5421.08,1,0.0406,17.9715,2.802,2.53337
33385.4,56.3393,6850,4950,6850,4950,5384.03,0,0.48434,17.7496,2.802,2.65761
33400.9,64.4646,6850,4950,6850,4950,5352.06,0,0.87215,15.5124,2.802,2.7662
33417.1,61.72,6850,4950,6850,4950,5319.08,1,0.277205,16.2022,3.082,2.87962
33433.6,60.4515,6850,4950,6850,4950,5285.82,0,0.69076,16.5422,3.082,2.99541
33450.3,60.0846,6850,4950,6850,4950,5252.77,1,0.10684,16.6432,3.362,3.11191
33467.3,58.5682,6850,4950,6850,4950,5219.29,0,0.533692,17.0741,3.362,3.23143
33483.7,60.9949,6850,4950,6850,4950,5187.55,0,0.943563,16.3948,3.362,3.3462
33500.6,59.2122,6850,4950,6850,4950,5155.25,1,0.365772,16.8884,3.642,3.46442
33517.1,60.8284,6850,4950,6850,4950,5124.19,0,0.776765,16.4397,3.642,3.57949
33535.3,54.9919,6850,4950,6850,4950,5090.27,1,0.231377,18.1845,3.922,3.70679
33557.2,45.5589,6850,4950,6850,4950,5049.92,0,0.780118,21.9496,3.922,3.86043
33572.4,65.8918,6850,4950,6850,4950,5022.39,1,0.159527,15.1764,4.202,3.96667
33588.9,60.3795,6850,4950,6850,4950,4992.69,0,0.573575,16.5619,4.202,4.0826
33602.7,72.6106,6850,4950,6850,4950,4968.26,0,0.917877,13.7721,4.202,4.17901
33618.2,64.472,6850,4950,6850,4950,4941.03,1,0.305642,15.5106,4.482,4.28758
33636,56.2563,6850,4950,6850,4950,4910.19,0,0.750037,17.7758,4.482,4.41201
33654.1,55.1432,6850,4950,6850,4950,4879.12,1,0.203403,18.1346,4.762,4.53895
33678.2,41.5229,6850,4950,6850,4950,4838.46,0,0.80548,24.0831,4.762,4.70753
33689.8,86.5981,6850,4950,6850,4950,4819.2,1,0.09417,11.5476,5.042,4.78837
33706.8,58.5991,6850,4950,6850,4950,4791.02,0,0.520797,17.0651,5.042,4.90782
33719.9,76.3411,6850,4950,6850,4950,4769.62,0,0.848275,13.0991,5.042,4.99952
33735.1,65.8519,6850,4950,6850,4950,4745.04,1,0.227915,15.1856,5.322,5.10582
33753,55.8528,6850,4950,6850,4950,4716.38,0,0.67552,17.9042,5.322,5.23115
33771.2,55.0234,6850,4950,6850,4950,4687.65,1,0.129873,18.1741,5.602,5.35837
33784.8,73.544,6850,4950,6850,4950,4666.38,0,0.469805,13.5973,5.602,5.45355
33801.2,60.9715,6850,4950,6850,4950,4640.98,0,0.879833,16.4011,5.602,5.56835
33817.6,60.8054,6850,4950,6850,4950,4615.78,1,0.29098,16.4459,5.882,5.68348
33835.3,56.4774,6850,4950,6850,4950,4588.96,0,0.733635,17.7062,5.882,5.80742
33849.9,68.5199,6850,4950,6850,4950,4567.09,1,0.0984925,14.5943,0,0
33867.1,58.3094,6850,4950,6850,4950,4541.65,0,0.52724,17.1499,0,0
33884,59.088,6850,4950,6850,4950,4516.82,0,0.950338,16.9239,0,0
33900.4,60.8495,6850,4950,6850,4950,4492.97,1,0.361187,16.434,0.26,0.0939087
33919,53.8546,6850,4950,6850,4950,4466.32,0,0.8254,18.5685,0.26,0.214604
33932.8,72.7241,6850,4950,6850,4950,4446.79,1,0.169165,13.7506,0.52,0.303983
33950.5,56.2607,6850,4950,6850,4950,4421.79,0,0.613525,17.7744,0.52,0.419516
33967,60.6678,6850,4950,6850,4950,4398.87,1,0.025605,16.4832,0.78,0.526657
33983.7,60.1019,6850,4950,6850,4950,4375.96,0,0.441565,16.6384,0.78,0.634807
34000.8,58.3543,6850,4950,6850,4950,4352.62,0,0.869982,17.1367,0.78,0.746195
34017.1,61.5248,6850,4950,6850,4950,4330.71,1,0.276323,16.2536,1.04,0.851844
34033.5,60.8091,6850,4950,6850,4950,4308.76,0,0.687445,16.4449,1.04,0.958736
34052.7,52.2139,6850,4950,6850,4950,4283.48,1,0.166245,19.152,1.3,1.08322
34066.4,72.8226,6850,4950,6850,4950,4265.54,0,0.509545,13.732,1.3,1.17248
34090.6,41.23,6850,4950,6850,4950,4234.21,1,0.1159,24.2542,1.56,1.33013
34103.6,77.367,6850,4950,6850,4950,4217.7,0,0.439035,12.9254,1.56,1.41415
34117.9,69.7049,6850,4950,6850,4950,4199.53,0,0.79769,14.3462,1.56,1.5074
34135.6,56.5042,6850,4950,6850,4950,4177.33,1,0.240135,17.6978,1.82,1.62244
34159,42.6721,6850,4950,6850,4950,4148.29,0,0.825997,23.4345,1.82,1.77476
34170.2,89.6387,6844.7,4939.23,6849.44,4948.87,4138.15,1,0.104895,11.1559,0.33,0.33
34183.8,73.2928,6844.7,4939.23,6847.64,4945.2,4121.52,0,0.445992,13.6439,0.33,0.33
34200.3,60.5738,6844.7,4939.23,6845.45,4940.76,4101.58,0,0.858712,16.5088,0.33,0.33
34217.6,57.8864,6841.81,4927.59,6843.86,4935.85,4084.42,1,0.290592,17.2752,0.66,0.425896
34233.3,63.6797,6841.81,4927.59,6842.73,4931.28,4065.8,0,0.683182,15.7036,0.66,0.55545
34249.8,60.8228,6840.9,4915.62,6841.72,4926.46,4049.96,1,0.0942125,16.4412,0.99,0.69109
34266.5,59.6075,6840.9,4915.62,6841.34,4921.44,4030.42,0,0.513623,16.7764,0.99,0.829495
34283.9,57.6346,6840.9,4915.62,6840.94,4916.25,4010.42,0,0.94739,17.3507,0.99,0.972639
34299.9,62.4602,6842.21,4903.69,6841.35,4911.48,3995.55,1,0.347645,16.0102,1.32,1.10472
34317.4,57.1948,6842.21,4903.69,6841.93,4906.26,3975.76,0,0.784747,17.4841,1.32,1.24897
34334.3,59.2259,6843.04,4891.72,6842.38,4901.22,3960.21,1,0.20686,16.8845,1.65,1.38826
34350.6,61.3181,6843.04,4891.72,6842.72,4896.34,3942.08,0,0.61457,16.3084,1.65,1.52281
34367.6,58.8779,6843.43,4879.73,6843.05,4891.25,3926.73,1,0.0391775,16.9843,1.98,1.66293
34384.1,60.3712,6843.43,4879.73,6843.21,4886.29,3908.64,0,0.453283,16.5642,1.98,1.79958
34400.7,60.1906,6843.43,4879.73,6843.37,4881.31,3890.66,0,0.86863,16.6139,1.98,1.93665
34416.9,61.8399,6844.92,4867.82,6843.83,4876.48,3876.63,1,0.2729,16.1708,2.31,2.07006
34437.7,48.126,6844.92,4867.82,6844.61,4870.29,3854.56,0,0.79237,20.7788,2.31,2.24148
34449.4,85.2951,6847.32,4856.06,6845.13,4866.82,3845.49,1,0.08547,11.724,2.64,2.33821
34467.5,55.1742,6847.32,4856.06,6846.21,4861.49,3826.55,0,0.53858,18.1244,2.64,2.48773
34483.6,62.2177,6847.32,4856.06,6847.18,4856.77,3809.91,0,0.940395,16.0726,2.64,2.62033
34500.2,60.3708,6851.93,4844.98,6848.95,4852.14,3796.14,1,0.354502,16.5643,2.97,2.75699
34517.1,59.1965,6851.93,4844.98,6850.9,4847.46,3778.94,0,0.776825,16.8929,2.97,2.89635
34534.6,57.0457,6858.05,4834.66,6853.24,4842.76,3764.46,1,0.21507,17.5298,3.3,3.04097
34549.6,66.8798,6858.05,4834.66,6855.53,4838.91,3749.5,0,0.588875,14.9522,3.3,3.16433
34567.9,54.4683,6865.47,4825.23,6858.4,4834.21,3734.46,1,0.0478575,18.3593,3.63,3.31579
34584.7,59.6758,6865.47,4825.23,6861.51,4830.26,3717.98,0,0.466787,16.7572,3.63,3.45404
34600.3,63.9824,6865.47,4825.23,6864.41,4826.58,3702.73,0,0.85752,15.6293,3.63,3.58298
34616.8,60.4449,6873.69,4816.49,6867.7,4822.86,3689.87,1,0.27112,16.544,3.96,3.71947
34633.7,59.3511,6873.69,4816.49,6871.16,4819.18,3673.7,0,0.692343,16.8489,3.96,3.85847
34651.8,55.0849,6882.45,4808.29,6874.97,4815.29,3659.54,1,0.146187,18.1538,4.29,4.00824
34667.7,63.1588,6882.45,4808.29,6878.44,4812.05,3644.61,0,0.542015,15.8331,4.29,4.13886
34683.5,63.1257,6882.45,4808.29,6881.91,4808.8,3629.79,0,0.93805,15.8414,4.29,4.26956
34700.9,57.4251,6891.69,4800.63,6885.9,4805.43,3616.7,1,0.3734,17.414,4.62,4.41322
34717.1,61.733,6891.69,4800.63,6889.64,4802.33,3601.79,0,0.77837,16.1988,4.62,4.54686
