t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay
32865.5,8.37829,8008,18885,8008,18885,0,0,0,0,6.44045,6.44045,1,0.8
34387.8,0.6569,13350,13450,13350,13450,5006.09,5,0,1522.3,1.402,1.122,6.25,0.247921
34814.4,2.34413,13350,13450,13350,13450,3910.3,5,0,426.597,1.402,1.122,6.25,0.247921
34844.8,32.8822,13350,13450,13350,13450,3850.22,0,0.76029,30.4116,1.402,1.33488,0.76029,0.843957
34867.4,44.2159,13350,13450,13350,13450,3806.72,1,0.325698,22.6163,1.682,1.4932,0.565408,0.881468
34887.2,50.3723,13350,13450,13350,13450,3769.34,0,0.822002,19.8522,1.682,1.63216,0.496305,0.895165
34909.7,44.4334,13350,13450,13350,13450,3727.85,1,0.384643,22.5056,1.962,1.7897,0.56264,0.882012
34928.8,52.4348,13350,13450,13350,13450,3693.39,0,0.861425,19.0713,1.962,1.9232,0.476783,0.899073
34947.5,53.5845,13350,13450,13350,13450,3660.28,1,0.327978,18.6621,2.242,2.05383,0.466552,0.901128
34964.9,57.4941,13350,13450,13350,13450,3629.96,0,0.762805,17.3931,2.242,2.17559,0.434828,0.90753
34981,62.1257,13350,13450,13350,13450,3602.34,1,0.165215,16.0964,2.522,2.28826,0.40241,0.914118
34998.3,57.5705,13350,13450,13350,13450,3573,0,0.599465,17.37,2.522,2.40985,0.43425,0.907647
35014.6,61.3591,13350,13450,13350,13450,3545.91,1,0.0069025,16.2975,2.802,2.52393,0.407438,0.913093
35031.2,60.4095,13350,13450,13350,13450,3518.81,0,0.420745,16.5537,2.802,2.63981,0.413842,0.911789
35050.1,52.7986,13350,13450,13350,13450,3488.3,0,0.894243,18.9399,2.802,2.77239,0.473498,0.899732
35069.6,51.3938,13350,13450,13350,13450,3457.51,1,0.380682,19.4576,3.082,2.90859,0.48644,0.897138
35087.8,54.8231,13350,13450,13350,13450,3429.13,0,0.836695,18.2405,3.082,3.03627,0.456012,0.90325
35104.5,59.7864,13350,13450,13350,13450,3403.51,1,0.25485,16.7262,3.362,3.15336,0.418155,0.910912
35123.3,53.3012,13350,13450,13350,13450,3375.23,0,0.723882,18.7613,3.362,3.28469,0.469032,0.900629
35139.3,62.6319,13350,13450,13350,13450,3351.53,1,0.12304,15.9663,3.642,3.39645,0.399157,0.914782
35157.6,54.5167,13350,13450,13350,13450,3324.71,0,0.581615,18.343,3.642,3.52485,0.458575,0.902733
35173.9,61.3279,13350,13450,13350,13450,3301.23,0,0.98926,16.3058,3.642,3.63899,0.407645,0.913051
35189.9,62.599,13350,13450,13350,13450,3278.54,1,0.388627,15.9747,3.922,3.75082,0.399368,0.914739
35208.5,53.6383,13350,13450,13350,13450,3252.45,0,0.854712,18.6434,3.922,3.88132,0.466085,0.901222
35224.7,61.9444,13350,13450,13350,13450,3230.2,1,0.2583,16.1435,4.202,3.99432,0.403587,0.913878
35241.7,58.7565,13350,13450,13350,13450,3207.06,0,0.683785,17.0194,4.202,4.11346,0.425485,0.909424
35257.6,62.7608,13350,13450,13350,13450,3185.7,1,0.0821225,15.9335,4.482,4.22499,0.398338,0.914949
35275.4,56.1782,13350,13450,13350,13450,3162.17,0,0.527135,17.8005,4.482,4.3496,0.445013,0.90547
35291.4,62.646,13350,13450,13350,13450,3141.36,0,0.926202,15.9627,4.482,4.46134,0.399067,0.9148
35307.5,61.9256,13350,13450,13350,13450,3120.59,1,0.329913,16.1484,4.762,4.57438,0.40371,0.913853
35329.7,45.1376,13350,13450,13350,13450,3092.53,0,0.883775,22.1545,4.762,4.72946,0.553863,0.883741
35347.3,56.9194,13350,13450,13350,13450,3070.64,1,0.322993,17.5687,5.042,4.85244,0.439218,0.906641
35365.7,54.2376,13350,13450,13350,13450,3048,0,0.783928,18.4374,5.042,4.9815,0.460935,0.902258
35384.8,52.3338,13350,13450,13350,13450,3024.88,1,0.26163,19.1081,5.322,5.11526,0.477702,0.898889
35403,54.9955,13350,13450,13350,13450,3003.21,0,0.716213,18.1833,5.322,5.24254,0.454583,0.903538
35423.8,48.0811,13350,13450,13350,13450,2978.79,1,0.236168,20.7982,5.602,5.38813,0.519955,0.890453
35441,58.0862,13350,13450,13350,13450,2958.88,0,0.666562,17.2158,5.602,5.50864,0.430395,0.908428
35459.8,53.2071,13350,13450,13350,13450,2937.44,1,0.136425,18.7945,5.882,5.6402,0.469862,0.900463
35477.2,57.4703,13350,13450,13350,13450,2917.87,0,0.571432,17.4003,5.882,5.762,0.435008,0.907493
35493.7,60.7844,13350,13450,13350,13450,2899.61,0,0.982723,16.4516,5.882,5.87716,0.41129,0.912309
35510.3,60.0644,13350,13450,13350,13450,2881.36,1,0.398943,16.6488,0.162001,0.162001,0.41622,0.911306
35529.3,52.661,13350,13450,13350,13450,2860.82,0,0.873677,18.9894,0.162001,0.162001,0.474735,0.899484
35545.2,62.8903,13350,13450,13350,13450,2843.84,1,0.271195,15.9007,0.442001,0.237936,0.397518,0.915117
35562.3,58.4994,13350,13450,13350,13450,2825.82,0,0.69855,17.0942,0.442001,0.357595,0.427355,0.909044
35578.5,61.864,13350,13450,13350,13450,2808.98,1,0.102663,16.1645,0.722001,0.470747,0.404112,0.913771
35596,56.889,13350,13450,13350,13450,2790.9,0,0.542115,17.5781,0.722001,0.593793,0.439452,0.906594
35611.5,64.863,13350,13450,13350,13450,2775.23,0,0.927543,15.4171,0.722001,0.701713,0.385428,0.917589
35626.7,65.5983,13350,13450,13350,13450,2759.91,1,0.30865,15.2443,1.002,0.808423,0.381108,0.918474
35643,61.3121,13350,13450,13350,13450,2743.7,0,0.7164,16.31,1.002,0.922593,0.40775,0.91303
35658.7,63.8941,13350,13450,13350,13450,2728.33,1,0.107672,15.6509,1.282,1.03215,0.391272,0.916393
35675.2,60.3304,13350,13450,13350,13450,2712.23,0,0.522057,16.5754,1.282,1.14818,0.414385,0.911679
35690.7,64.4654,13350,13450,13350,13450,2697.34,0,0.909863,15.5122,1.282,1.25676,0.387805,0.917102
35707.9,58.4112,13350,13450,13350,13450,2681.09,1,0.337862,17.12,1.562,1.3766,0.428,0.908913
35726.5,53.7481,13350,13450,13350,13450,2663.66,0,0.802995,18.6053,1.562,1.50684,0.465133,0.901413
35760,29.786,13350,13450,13350,13450,2632.76,1,0.642315,33.5728,1.842,1.74185,0.83932,0.829204
35782,45.4775,13350,13438,13350,13447.7,2617.03,1,0.192037,21.9889,0.33,0.33,0.549722,0.884558
35801.1,52.3909,13350,13438,13350,13442,2600.01,0,0.66922,19.0873,0.33,0.33,0.477183,0.898993
35818.5,57.4247,13350,13426,13350,13436.7,2588.75,1,0.104572,17.4141,0.66,0.364509,0.435353,0.907423
35835.1,60.2232,13350,13426,13350,13431.8,2574.27,0,0.519695,16.6049,0.66,0.501499,0.415123,0.911529
35851.1,62.6527,13350,13426,13350,13427,2560.51,0,0.91872,15.961,0.66,0.633178,0.399025,0.914809
35866.9,63.3316,13350,13414,13350,13422.2,2551.04,1,0.313468,15.7899,0.99,0.763444,0.394747,0.915683
35883.9,58.6817,13350,13414,13350,13417.1,2536.63,0,0.739495,17.0411,0.99,0.904033,0.426028,0.909314
35900.2,61.4942,13350,13402,13350,13412.2,2527,1,0.146038,16.2617,1.32,1.03819,0.406543,0.913276
35917.6,57.3273,13350,13402,13350,13407,2512.55,0,0.58213,17.4437,1.32,1.1821,0.436092,0.907274
35935.7,55.2621,13350,13390,13350,13401.6,2501.65,1,0.03452,18.0956,1.65,1.33139,0.45239,0.90398
35953.3,56.784,13350,13390,13350,13396.3,2487.39,0,0.474785,17.6106,1.65,1.47668,0.440265,0.906429
35969.6,61.6116,13350,13390,13350,13391.4,2474.38,0,0.880552,16.2307,1.65,1.61058,0.405768,0.913434
35986.1,60.5378,13350,13378,13350,13386.5,2465.13,1,0.293518,16.5186,1.98,1.74686,0.412965,0.911968
36003.4,57.7001,13350,13378,13350,13381.3,2451.51,0,0.726793,17.331,1.98,1.88984,0.433275,0.907844
